0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
24700,24700,24700,27800,27800,27800,28500,28500,28500,28500,28500,29500,29600,30900,30900,30900,31500,32900,32900,33200,33200,33500,33500,33500,33500,33500,33500,33500,33500,33500,33500,33500,33500,33500,33500,33500,33500,33500,33500,33500,33500,33500,33500,33500,33500,33500,34200,34200,34200,34200,34200,34200,34200,34200,34200,34200,34200,34200,34200,34200,34200,34200,34200,34200,34300,34300,34600,34600,34700,34700,34700,35500,35500,35500,35500,35500,35500,35500,35500,35500,35500,35500,35500,35500,35500,35500,35500,35500,35500,35500,35500,35500,35500,35500,35500,35500,35500,35500,35500,35500
20600,23100,23800,24100,24500,29100,29100,29100,29100,29100,29100,29100,29100,29100,29100,29100,29500,29500,29500,29500,29500,29500,29500,29500,29500,29500,29500,31100,31100,31100,31100,31100,31100,31100,31100,31100,31100,31100,31100,31100,31100,31700,33000,33000,33000,33000,33000,33000,33000,33000,33000,33000,33000,33000,33000,33000,33000,33000,33000,33000,33400,33400,34100,34100,34100,34100,34100,34100,34100,34100,34100,34100,34100,34100,34100,34100,34100,34100,34100,34100,34100,34100,34100,34100,35900,35900,35900,35900,35900,35900,35900,35900,35900,35900,35900,35900,35900,35900,35900,35900
24600,24600,24600,24600,24600,25200,25200,25200,25200,25900,25900,25900,25900,25900,26300,26400,30000,30600,31500,31500,31500,31500,31500,31500,32200,32200,32200,32200,32200,32200,32200,33900,33900,33900,34900,36000,36000,36000,36000,36000,36200,36200,37400,37400,37400,37400,37400,37400,37400,37400,37800,37800,37800,37800,37800,37800,37800,37800,38000,38000,38000,38000,38000,38000,38000,38000,38000,38000,38000,38000,38000,38000,38000,38000,38000,38000,38000,38000,38000,38000,38000,38000,38000,38000,38000,38000,38000,38000,38000,38000,38000,38000,38000,38000,38000,38000,38000,38000,38000,38000
21200,21200,21600,22800,22800,22800,23300,24600,24600,25500,25500,29400,29400,29400,31100,33200,34200,37000,37000,37000,37000,38200,39400,39400,40200,40300,40300,42700,42700,42700,42700,42700,42700,42700,42700,42700,42700,42700,42700,42700,42700,42700,46200,46200,46300,46300,46300,46300,46300,46300,46300,46300,46300,46300,46300,46300,46300,46300,46300,46300,46300,46300,46300,46300,46300,46300,46300,46300,46300,46300,46300,46300,46300,46300,46300,46300,46300,46300,46300,46300,46300,46300,46300,46300,46300,46300,46300,46300,46300,46300,46300,46300,46300,46300,46300,46300,46300,46300,46300,46300
19700,21500,22600,23500,23500,23500,24500,24500,24500,26200,26400,26500,29400,29400,29400,29700,30200,32500,32500,33800,35400,36000,36000,36000,36000,36000,36300,36300,36900,36900,36900,36900,36900,37000,37000,37000,37000,37000,37000,37000,37000,37000,37000,37000,37000,37000,37000,37000,37000,37000,37000,37000,37000,37000,37000,37000,37000,37000,37000,37000,37000,37000,37000,37000,37000,37000,37000,37000,37000,37000,37000,37000,37000,37000,37000,37000,37000,37000,37000,37000,37800,37800,37800,37800,37800,37800,37800,37800,37800,37800,37800,37800,37800,37800,37800,37800,37800,37800,37800,37800
22500,22500,22500,24900,24900,26700,26700,26700,28700,28700,29200,29500,29500,29500,29500,30300,31000,32000,33000,33000,33000,34000,34000,34000,36000,36000,36000,36300,36300,36300,36300,36300,36300,36300,36300,36300,36300,36300,36300,36300,36300,36300,36300,36300,36300,36300,36300,39700,39700,39700,39700,39700,39700,39700,39700,39700,39700,39700,39700,39700,39700,39700,39700,39700,39700,40400,40400,40400,40400,40400,40400,40400,40400,40400,40400,40400,40400,40400,40400,40400,40400,40400,40400,40400,40400,40400,40400,40400,40400,40400,40400,40400,40400,40400,40400,40400,40400,40400,40400,40400
22900,24100,24100,26300,26300,26300,26300,26300,30300,30300,31300,31300,31300,32500,32500,32500,32500,32500,32500,32500,32500,32500,32500,32500,32500,32500,32500,32500,34900,34900,35300,35300,37600,37600,37600,37600,37600,37600,37600,37600,37600,37600,37600,37600,37600,37600,37600,37600,37600,37600,37600,37600,37600,37600,37600,37600,37600,37600,37600,37600,38000,38700,38700,39700,40100,40100,40100,40100,40100,40100,40100,40100,40100,40100,40100,40100,40100,40100,40100,40100,41200,41200,41200,41200,41200,41200,41200,41200,41200,41200,41200,43100,43100,43100,43100,43100,43100,44500,44500,44500
22500,22500,25900,25900,25900,25900,27900,27900,28800,33100,33100,33100,33200,33200,33200,37300,37300,37300,37300,37300,37300,37300,37300,37300,37300,37300,37300,37300,37300,37300,37300,37800,37800,37800,37800,37800,37900,37900,37900,37900,38000,38000,39900,39900,39900,39900,39900,39900,39900,39900,39900,41700,41700,41700,41700,41700,41700,41700,41700,41700,41700,41700,41700,41700,41700,41700,41900,41900,41900,41900,41900,41900,41900,41900,41900,41900,41900,41900,41900,41900,41900,41900,41900,41900,41900,42600,42600,42600,42600,42600,42600,42600,42600,42600,42600,42600,42600,42600,42600,42600
25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,27100,27100,28400,28400,28400,28600,29300,30500,30500,30700,34100,35300,35300,35300,35300,35300,36200,36200,36200,37500,37500,37800,37800,37800,39000,39000,39000,39000,39000,39000,39500,39500,39500,39500,39500,39500,39500,39500,39500,39500,39500,39500,39500,39500,39500,39500,39500,39500,39500,39500,39500,39500,39500,39500,39500,39500,39500,39500,39500,39500,39500,39500,39500,39500,39500,39500,39500,39500,39500,39500,39500,39500,39500,39500,39500,39500,39500,39500,39500,39500,39500,39500,39500,39500,39500,39500,39500,39500
25400,27900,27900,27900,27900,27900,30300,30300,30300,30300,30300,30800,32500,34300,34300,37900,37900,37900,37900,37900,38600,38600,38600,39100,39100,39100,39400,39400,39400,40100,40100,40100,40100,40100,40100,40100,40100,40100,40100,40100,40100,40100,40100,40100,40100,40100,40100,41300,41300,41300,41300,41300,41300,41300,41300,41300,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900
