0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
21600,21600,21800,21800,23800,23800,23800,23800,23800,24900,24900,25300,25300,25300,25300,25300,25300,25300,25400,25900,25900,25900,25900,25900,25900,28000,28400,28400,28400,31200,31200,31200,31200,31200,31200,31200,31200,31200,31200,31200,35100,35100,35100,35100,35100,35100,35100,35100,35100,35100,35100,35400,35400,35500,35500,35500,35500,35500,35500,35500,35500,35500,35500,36800,36800,36800,36800,36800,36800,36800,36800,36800,36800,36800,36800,36800,36800,36800,36900,36900,36900,37800,37800,37800,37800,37800,37800,37800,37800,37800,37800,37800,37800,37800,40100,40100,40100,40100,40100,40100
25200,25200,25200,26300,26300,26500,26500,26500,28100,28100,28400,28400,28400,29000,31000,31000,31000,31000,31300,31300,31300,31300,32000,32000,32000,32000,33400,33400,33400,34600,34600,34600,34600,34600,34600,37500,37500,37500,37500,38300,38300,38300,38300,38300,38300,39500,39500,39500,39500,39500,39500,39500,39500,40200,40200,40200,40200,40200,40200,40200,40200,41700,41700,41700,41700,41700,42000,43800,43800,43800,43800,43800,43800,43800,43800,43800,43800,44400,44400,44400,44400,44400,44400,44400,44400,44400,44400,44400,44400,44400,44400,44400,44900,44900,45600,45600,45600,45600,45600,45600
18800,22100,22100,22100,22100,25600,25600,25600,26600,26600,26600,27300,27300,28500,28500,28600,28600,29200,29200,29200,29200,29200,29200,29800,29800,29800,33100,33100,33100,33100,33100,33100,33100,33100,33100,33200,33200,33200,38100,38100,38100,38100,38100,38100,38100,38100,38100,38100,38100,38100,38100,38100,38100,38100,38100,38100,38100,38100,39200,39200,39200,39200,39200,39200,39200,39200,39200,39200,43800,43800,43800,43800,43800,43800,43800,43800,43800,43800,43800,43800,43800,43800,43800,43800,43800,43800,43800,43800,43800,43800,43800,43800,43800,43800,43800,43800,43800,43800,43800,43800
19900,19900,20000,26600,26600,26600,26600,27600,28200,28200,28200,28200,28200,28200,28200,31100,31100,31100,31100,31100,31100,31100,31100,32700,32700,32700,32700,32700,32700,32700,32700,32700,32700,32700,34600,34600,34600,34600,35200,35200,35200,35200,35200,35200,36000,36000,36000,36000,36000,36000,36000,36000,36000,36000,36000,36000,36000,39800,39800,39800,39800,39800,39800,39800,39800,39800,39800,39800,39800,39800,39800,39800,39800,39800,39800,39800,39800,39800,39800,39800,40200,40200,40200,40200,40200,40200,40200,40200,40200,40200,40200,40200,40200,40200,40200,40200,40200,40200,40900,41200
21300,21300,21300,21800,22400,23100,23100,24400,24400,24400,25300,25300,25300,25300,26700,29400,31400,31400,31400,31400,31400,31400,31400,34100,34100,35700,36100,36100,36100,36100,36100,36100,36100,36100,36100,36100,36100,36100,37600,37600,37600,37600,41500,41500,42300,42300,42300,42300,42300,42300,42300,42300,42600,42600,42600,42600,42700,43600,43600,43600,43600,43700,43700,43700,43700,43700,43700,43800,43800,44900,45700,45700,45700,45700,45700,45900,45900,46000,46000,46000,46000,46000,46000,46000,46000,46000,46800,46800,46800,46800,46800,48100,48100,48100,48100,48100,48100,48100,48100,48100
27600,27600,27600,27600,27600,27600,27700,27700,27700,28900,28900,31200,31200,31200,32200,32200,32400,32400,32400,34400,34400,34400,38100,38100,38500,38500,38500,38500,38500,38500,38500,38500,38500,40200,40200,40200,40300,40300,40300,40300,40300,40300,40300,40300,40300,40300,40300,40300,40300,40300,40300,40300,40300,40300,40300,42900,42900,42900,42900,42900,43100,43100,43100,43100,43100,43100,43100,43100,43100,43100,43100,43400,43400,43400,43400,43400,45200,45200,45200,45200,45800,45800,45800,45900,45900,45900,45900,45900,45900,45900,45900,45900,45900,45900,45900,45900,46000,46000,46000,46000
23700,24100,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25200,25200,25200,25200,27300,28100,28100,28100,28100,28100,28200,28200,28200,28600,28700,32800,32800,32800,32800,32800,32800,32800,32800,32800,32800,32800,32800,32800,34600,34600,34600,34600,34600,34600,35100,35100,35100,35100,35100,35100,35100,35100,35400,35400,35400,35400,35600,35600,35600,35600,35600,35600,37500,37500,37500,37500,37500,37500,37500,37500,38300,38300,38300,38300,38300,38300,38300,38300,38300,38300,39700,39700,39700,39700,39700,39700,39700,39700,39700,41200,41200
21300,21300,21300,21800,21800,21800,21800,21800,23300,23400,23400,23400,23400,24700,27000,27000,27000,28200,28300,28300,28300,30800,30800,30800,30800,30800,31500,31500,31500,32000,32000,32000,32000,32000,32000,33300,33300,34100,34100,35700,35700,35700,35700,35700,35700,35800,36800,36800,36800,36800,36800,36800,42300,42300,42300,42300,42300,42300,42300,42300,42300,42300,43400,43400,43400,43400,43400,43400,43400,43400,43400,45500,45500,45500,45500,45500,45500,45500,45500,45500,45500,45700,45700,45700,45700,45700,45700,45700,45700,45700,45700,45700,45700,45700,45700,45700,45700,45700,45700,47300
20200,22900,22900,22900,22900,22900,22900,22900,22900,24100,24100,24100,24100,24800,24800,24800,24800,24800,24800,24800,24800,26900,26900,29000,29100,29100,29100,32000,32000,32000,32000,32000,32000,33100,33100,33100,33100,36000,36000,36000,36000,36000,36000,36000,36000,36000,36000,36000,36000,36000,36000,36000,36000,36000,36000,36000,36000,36000,36000,36000,36000,36000,36000,36000,36000,36000,36000,36000,36000,36000,36000,36000,36000,36700,37500,37500,37500,37500,37500,37500,37500,37600,37600,37600,37600,37600,37600,37600,37600,37600,37600,37600,37600,37600,37600,37600,37600,37600,39000,39000
20600,23500,23500,23500,23500,23500,23500,23500,24500,24500,24500,27400,27400,27400,27400,27400,27400,27400,27400,27400,27400,27400,27400,27400,27400,27400,27400,27400,27400,27600,27600,27800,27800,27800,27800,28200,28200,28200,31300,31300,32600,32600,34400,36900,37100,37100,37100,37100,37100,37100,37100,37100,37100,37100,37100,37100,37100,37800,38200,38200,38200,38200,38200,38200,38200,38200,38200,38200,38700,38700,38700,38700,38700,38700,40600,40600,40600,40600,40600,40600,40600,43000,43000,43000,43000,43000,43000,43000,43000,43000,43000,43000,43000,44900,46500,46500,46500,46500,46500,46500
21600,21600,23200,23200,23200,23200,23500,23700,25500,25500,28800,28800,28800,28800,30500,30500,30500,30500,30500,30500,30500,30500,30500,30500,30600,30600,30600,34100,34100,34100,34100,34100,34100,34100,34100,34100,34100,36600,36600,36600,36700,36700,36700,36700,36700,36700,36700,36700,36700,36700,36700,38100,38100,38100,38100,38100,38100,38100,38100,38100,38100,39400,39400,39400,39400,39400,39400,39400,40600,40600,40600,40600,40600,40600,42300,42300,42300,42300,42300,42300,42300,42300,42300,42300,42300,42300,42300,42300,42400,42400,42400,42400,42400,42400,42400,42400,42400,42400,42400,42400
22600,22600,22600,23500,25900,25900,25900,25900,25900,26900,27200,28200,29200,29200,29200,29200,29200,29200,29200,32600,32600,32600,35100,35100,35100,35100,35100,35200,36400,36400,37200,37200,37300,39800,39800,39800,39800,39800,39800,39800,40200,40200,40200,40600,40600,40600,41500,41900,41900,41900,41900,41900,41900,41900,41900,41900,43700,43700,43700,43700,43700,43700,45300,45300,45300,45300,46200,46200,46200,46200,46200,46200,46200,46200,46200,46200,46200,46200,46200,46200,46200,46200,46200,46200,46200,46200,46200,46200,46200,46200,46200,48300,48300,48300,48300,48300,48300,48300,48300,48300
20400,20400,24600,24600,24700,24700,24700,25300,25300,25300,25900,25900,25900,27100,29300,29300,29300,29600,29600,30300,30300,30300,30300,30300,33700,33700,33700,33700,33700,33700,33700,33700,33700,33700,33700,33700,33700,33700,33700,35700,35700,35700,35700,35700,35700,35700,35700,35700,36900,36900,37200,37500,37500,37500,37500,37500,37500,37500,37500,37500,37500,37500,37500,37500,37500,37500,37500,37500,37500,37500,37500,37500,37500,37500,37500,37500,37500,37500,38000,38000,38000,38000,38000,38000,38000,38000,38000,38000,42100,42100,42100,42100,42100,42100,42100,42100,42100,42100,42100,42100
31400,31400,31400,32300,32300,32300,32300,32600,32600,32600,32600,34600,34600,34600,34600,34600,34600,34600,34600,34600,34600,36000,36000,36000,36000,39200,39200,39200,39200,39200,39200,39200,41600,41600,41600,41600,41600,41600,41600,41600,41600,41600,41600,42500,42500,42500,42500,42500,42500,42500,42500,42500,42500,42500,43000,43000,44100,44100,44100,44100,44100,44100,44100,44100,44200,44200,44200,44200,44200,44200,44200,44200,44200,44200,44200,44200,44200,44200,44200,44200,44200,44200,45600,45600,45600,45600,45600,45600,45600,45600,45600,45600,45600,45900,45900,45900,45900,45900,45900,45900
21000,22800,22800,22800,22800,22800,22800,25100,26900,26900,26900,26900,27300,27300,27700,27700,27700,27700,27700,29100,29100,29100,29100,29100,29100,29100,29100,32900,32900,32900,33800,33800,33800,34700,34700,34700,40400,40400,40400,40400,40400,44300,44300,44300,44300,44300,44300,44300,44300,44300,44300,44300,44300,44300,44300,44300,44300,44300,44300,44300,44300,44300,44300,44300,44300,44300,44300,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45400,45400,45400,45400,45400,45400,45400,45400,45400,45400,45400,46000,46000,46000,46000,46000,46000,46400
24700,24700,24700,25400,25800,27700,27700,27700,27700,28800,28800,28800,28800,28800,29700,29700,29700,30800,30800,30800,31900,31900,31900,31900,31900,32300,32400,32400,32400,32400,32400,33100,33100,36400,38500,38600,38600,38600,38600,38600,38600,38600,40800,42700,42700,42700,42700,42700,42700,42700,42700,42700,42700,42700,42700,42700,43700,43700,43700,43700,43700,43700,43700,43700,46600,46600,46600,46600,46600,46600,46600,46600,46600,46600,46600,46600,46600,46600,46600,46600,46600,46700,46700,46700,46700,46700,46700,46700,46700,47300,47300,47300,47300,47300,47300,47300,47300,47300,47300,47300
21300,21300,22700,22700,22700,22700,22700,22700,22700,24700,25100,25100,28300,28300,28300,29600,32200,32200,32200,32200,32200,34200,34200,34200,34200,35600,35600,35700,36500,36500,36500,36500,36500,36500,36500,36500,36500,36500,36500,36500,36500,37900,37900,37900,37900,37900,38400,38400,38400,38400,38400,41200,41200,41200,41200,41200,41200,41200,41200,41200,41500,41500,43100,43100,43100,43100,43100,43100,43100,43100,43100,43100,43100,43100,43100,43100,43100,43100,43300,43600,43600,43600,43600,43600,43600,44900,44900,44900,44900,44900,44900,44900,44900,44900,44900,44900,44900,44900,44900,44900
25900,25900,25900,27200,29500,29500,29500,29500,29500,29500,31200,31200,31200,32300,33300,33300,33300,33300,33300,33300,33300,34900,35100,35100,35100,35100,35100,35100,35100,35800,36300,36300,36300,36300,37200,37200,37200,37200,37200,37200,37200,37200,37200,37200,38100,38100,38100,38100,40300,40300,40300,40300,40300,40300,40300,42300,42300,42300,42300,42300,42300,42300,42300,42300,42300,42300,42300,42300,42300,42300,42300,42300,42300,42300,42300,42300,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,43800,43800,43800,43800,43800,43800,43800,43800,44100,44100,44100,44100,44100,44100
