0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
21300,22400,23700,23700,28100,28400,28400,28400,28500,30000,30200,30200,30200,31000,31600,32400,32400,33700,33700,33700,33700,33700,33700,33700,33700,33700,33700,33700,33700,33700,33700,33700,33700,33700,33900,33900,33900,33900,33900,33900,33900,33900,33900,34900,34900,34900,34900,34900,34900,34900,34900,34900,34900,34900,34900,34900,34900,34900,34900,34900,34900,34900,34900,34900,34900,34900,34900,34900,34900,34900,34900,34900,34900,34900,36000,36000,36100,36100,36100,36100,36100,36100,36100,36100,36100,36100,36100,36500,36500,36500,36500,36500,36500,36500,36500,36500,36500,36500,36500,36500
20800,24400,24400,24700,25700,25700,27300,30200,30200,30200,30500,32200,32200,33200,33200,33200,33200,33500,33700,33700,34300,34300,34300,34600,34600,35200,35600,35600,35600,35600,35600,35700,35700,35700,35700,35700,35700,35700,35700,35700,35700,35700,35700,35700,36800,36800,36800,36800,36800,36800,36800,36800,36900,36900,36900,36900,36900,36900,36900,36900,37900,37900,37900,37900,40100,40100,40100,40100,40100,40100,40100,40100,40100,40100,40100,40100,40100,40100,40100,40100,40100,40200,40200,40200,40200,40200,40200,40200,40200,40200,40200,40200,40200,40200,40200,40200,40200,40200,40200,40200
19200,24800,28100,29200,30000,30000,31700,32600,37200,37200,37200,38100,38100,38100,38900,39100,39100,39100,40500,40500,40500,40600,40600,40600,40600,40600,40600,40600,40600,40600,40600,40600,40600,40600,41700,41700,41700,41700,41700,41700,41700,41700,41700,41700,41700,42000,42000,42000,42000,42000,42000,42000,42000,42000,43200,43200,43200,43200,43300,43400,43400,43400,43400,43400,43400,43400,43400,43400,43400,43400,43400,43400,43400,43400,43400,43400,43400,43400,43400,43400,43400,43400,43400,43400,43400,43400,43400,43400,43400,43400,43400,43400,43400,43400,43400,43400,43400,43700,43700,43700
24000,24400,24400,26200,26600,26900,29000,29200,29400,29400,31500,31500,31500,31500,32400,32400,32400,32400,32400,32400,33500,35200,35200,36300,36300,37200,37200,39300,39300,40500,40500,40500,40500,40500,40500,40500,40500,40500,40500,40700,40700,40700,40700,40700,40700,40700,42200,42200,42200,42200,42900,42900,42900,42900,42900,43100,43100,43200,43200,43200,43200,44400,44400,44400,44400,44400,44400,44400,44400,44400,44400,44400,44400,44400,44400,44500,44500,44500,44500,44500,44500,44500,44500,44500,45800,45800,45800,45800,46500,46500,46500,46500,46500,46500,46500,46500,46500,46500,46500,46500
27400,27700,27700,27700,27800,29000,30600,30600,30600,32200,32200,34200,34200,34200,34200,34200,34700,34700,34700,34700,34900,36900,37400,37400,39600,39600,39700,39700,39700,39700,40300,40300,40300,40300,40300,40300,40300,40300,40300,40300,40300,40300,40300,40300,40300,40300,40300,40300,40300,40300,40300,40300,40300,40300,40300,40300,40300,40300,40600,40600,40600,40600,40600,40600,40600,40600,40600,40600,40600,40600,40600,40600,40600,40600,40600,40600,40600,40600,40600,40800,40800,41900,41900,42100,42100,42100,42100,42100,42100,42100,42100,42100,42100,42100,42100,42800,42800,42800,42800,42800
23000,27200,27200,27600,32500,32500,32500,33200,33400,33500,33500,34100,34400,35100,35100,35100,35100,35100,36000,36000,36000,36000,36000,36000,36000,36000,36000,36000,37400,37400,37400,37400,37400,37400,37400,37400,37400,37400,37400,37400,37400,38300,38300,38300,38300,38300,38300,39100,39100,39100,39100,39100,39100,39100,39100,39100,39100,39100,39100,39100,39100,39100,39100,39100,39100,39100,39100,39100,39100,39100,39100,39100,39100,40300,40300,40300,40800,42300,42300,42300,42300,43600,44100,44100,44100,44100,44100,44100,44100,44100,44100,44100,45600,45600,45600,45600,45600,45600,45600,45600
23200,24000,25500,29300,29300,29700,30700,33000,33000,35000,37100,37100,37100,37100,37100,37100,37100,37400,37400,37400,37400,37400,37400,37400,37400,37400,37400,37400,37400,37400,37400,37400,38400,38400,38400,38400,38400,39100,39100,39100,39100,39100,39100,39100,39100,39300,39400,39900,39900,39900,40000,40000,40000,40000,40100,40100,44000,44000,44000,44000,44000,44000,44000,44000,44000,44000,44000,44000,44000,44000,44000,44000,44000,44000,44000,44000,44000,44000,44000,44000,44000,44000,44000,44000,44000,44000,44000,44000,44000,44000,44000,44000,44300,44300,44300,44300,44300,44300,44300,44300
23100,24400,24400,26000,26900,29100,29100,31200,31200,31200,31200,31200,31300,31300,31800,31800,32700,32700,32700,32700,32900,32900,33800,33800,33800,33800,36700,36700,36700,36700,36700,36700,36700,36700,36700,36700,36700,36700,36700,36700,36700,36700,36900,37000,38600,38600,38600,38600,38600,38600,38600,39500,39500,39500,39500,39500,39500,39500,39500,39500,39500,39500,39500,39500,39500,39500,39600,39600,39600,39600,39600,39600,39600,39600,39600,39600,39600,39600,39600,39700,39700,39700,39700,39700,39700,39700,39700,39700,39700,39700,39700,39700,39700,39700,39700,39700,39700,39700,39700,39700
20300,21400,24000,24900,24900,26100,26100,26100,26100,26100,28300,28300,28300,29800,30900,30900,30900,30900,31600,31600,31600,31600,31600,31600,31600,31600,31600,31600,33800,33900,34200,34200,35700,35700,35700,36000,36000,36000,36000,36200,36700,36700,36700,36700,38100,38100,38100,38100,38100,38100,39900,39900,39900,39900,39900,39900,39900,40000,43400,43400,43400,43600,43600,43600,43600,43600,43600,43600,43600,43600,43600,43600,43600,43600,43600,43600,43600,43600,43600,44500,44500,44500,44500,44500,44500,44500,44500,44500,44500,44500,44500,44500,44500,44500,44500,44500,44500,44500,44500,44500
23900,27100,30300,30300,35100,35100,38700,38700,38800,38800,40400,40400,40400,40400,40400,40500,40500,40500,40500,40500,40500,41900,41900,41900,42200,43100,43600,43600,43600,43600,44700,44700,44700,44700,44800,44800,46800,46800,46800,46800,46800,46800,46800,46800,46800,46800,46800,47700,47700,47700,47700,47700,47700,47700,47700,47700,47700,47700,47700,47700,47700,47700,47900,47900,47900,47900,47900,47900,47900,47900,47900,47900,47900,47900,47900,47900,48100,48100,48100,48100,48100,48100,48100,48100,48100,48100,48400,48400,48900,48900,48900,48900,49200,49200,49200,49200,49200,49200,49200,49200
