0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
26300,26300,26300,27400,28600,28600,28600,30200,32000,32000,32700,33500,33700,33700,33900,34800,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,37900,37900,37900,37900,37900,37900,40500,40500,40500,40500,40500,40500,40500,40500,40500,40500,40500,40500,40500,40500,40700,40700,42100,42100,42100,42100,42100,42100,42100,42100,42100,42100,42100,42100,42100,43600,43600,43600,43600,44900,44900,44900,44900,44900,44900,44900,44900,44900,44900,44900,44900,44900,44900,44900,44900,44900,44900,44900,44900,44900,44900,45100,45100,45100,45100,45100,45100
22000,22500,26600,26600,28700,31200,31500,36100,40500,41700,41700,42500,45100,45100,45100,46700,46700,46700,46700,46900,46900,46900,46900,48000,48200,48200,48200,48200,48200,49000,49000,49000,49000,49000,49000,49000,49000,49000,49000,49000,49000,49600,50800,50800,51400,51600,51600,51600,51600,51600,51600,51600,51600,51600,51600,51600,51600,51600,51600,51600,51600,51600,51600,51600,51600,51600,51600,51600,51600,51600,51600,51600,51600,51600,51600,51600,51600,51600,51600,51600,52200,52200,52200,53100,53100,53100,53100,53100,53100,53100,53100,53100,53100,53100,53100,53100,53100,53100,53100,53100
24200,24400,24400,25400,25400,28800,28800,28800,29300,30300,31500,32700,32900,32900,33000,35700,35700,36000,37000,37000,37200,37300,41900,41900,41900,41900,41900,41900,41900,41900,41900,41900,41900,41900,41900,41900,41900,44300,44300,44300,45100,45100,45100,45100,45800,45800,45800,45800,45800,45800,45800,45800,45800,45800,45800,45800,45800,45800,45800,45800,45800,45800,45800,45800,45800,45800,45800,45800,45800,45800,45800,45800,45800,45800,45800,45800,45800,45800,45800,45800,45800,45800,45800,45800,45800,45800,45800,45800,45800,45800,45800,46800,46800,46800,46800,46800,46800,46800,46800,46800
22400,23800,31200,31200,31200,32400,32400,32400,33700,37000,37300,37300,38800,41600,41600,41700,41700,42400,42400,42500,42500,42500,43600,43600,43600,43600,45500,45500,45500,45500,45500,45500,45500,45500,45500,45500,45500,45500,45500,45500,45500,45500,45500,45500,45500,45500,45500,45500,46900,46900,46900,46900,46900,47000,47000,47900,47900,48000,48000,48000,48000,48000,48000,48000,48000,48000,48000,48000,48000,48000,48000,48000,48000,48000,48000,48000,48000,48000,48000,48000,48000,48000,48000,48000,48000,48000,48000,48000,48000,48000,48000,48000,48000,48000,49100,49100,49100,49100,49100,49100
24000,25200,26400,30100,33700,38900,38900,38900,39800,39800,40100,40300,41300,41300,41300,41400,41400,41500,41500,41500,41500,43500,43500,43500,43500,43500,43600,43600,43600,43600,43600,45500,45500,45500,45500,45500,45500,45500,45500,45500,45500,45500,45500,46700,46700,46700,46700,46700,46700,46700,46700,46700,46700,46700,46700,46700,46700,46700,46700,46700,46700,46700,46700,46700,46700,47600,47600,47600,48600,48600,49500,49500,49500,49500,49500,49500,49500,49500,49500,49500,49500,49500,49500,49500,49500,49500,49500,49500,49500,49500,49500,49500,49500,49500,49500,49500,49500,49500,49500,49500
23800,24900,28000,30300,30300,30300,30300,33900,33900,33900,33900,35200,35200,35200,36700,36700,36700,36700,36700,36700,36700,36700,36700,36700,37700,37700,37700,37700,37700,39400,39800,39800,39800,39800,39800,39800,39800,39800,39800,39800,39800,39800,39800,39800,39800,39800,39800,39800,39800,39800,39800,39800,39900,39900,39900,42300,43100,43100,43100,43100,44200,44200,44400,44400,46400,46400,46400,46400,46400,46400,46400,46400,46400,47000,47000,47000,47200,47200,47200,47200,47200,47200,47200,47200,47200,47200,47200,47200,47200,47200,47200,47200,47200,47200,47200,49800,49800,49800,49800,49800
24200,24200,26000,29400,30600,31900,33600,33600,37700,37700,39800,39800,39800,41300,41600,43100,43900,43900,43900,43900,43900,43900,43900,43900,43900,43900,43900,43900,44400,44400,44400,44400,44400,44400,44400,44400,44400,44400,44400,44400,44400,44400,44400,46400,46400,46400,46400,46400,46400,46400,46400,46400,46500,46500,46500,46500,46500,46500,46500,46500,46500,46500,46500,46500,46500,46500,46500,46500,46500,46500,46500,46500,46500,46500,46500,46500,46500,46500,46500,46500,46500,46500,46500,46500,46500,46500,46500,46500,46500,46500,46500,46500,46500,46500,46500,46500,47000,47000,47000,47000
25600,25600,31300,31300,31400,31400,32600,33100,34300,34300,34300,34300,34800,34800,34800,35100,35100,35100,35100,35100,35100,35100,35100,35100,35100,35100,35100,35100,35100,35300,35300,36600,36600,36600,36600,36600,38600,38600,38600,38700,38700,38700,38700,38700,38700,38700,38700,38700,38700,38700,38700,38700,38700,38700,38700,38700,39400,39400,39400,39400,39400,39400,39400,39400,39400,39400,39600,39600,39600,39600,39600,39600,39700,39700,39700,39700,39700,39700,39700,39700,39700,39700,39700,39700,39700,39700,39700,39700,39700,39700,39700,39800,39800,39800,39800,39800,39800,39800,39800,39800
24200,25700,29700,29700,29700,32400,33900,33900,35200,36200,36200,36200,36200,36400,36400,38300,38300,38300,38300,38300,38300,39000,39000,39000,39400,39400,39400,39400,39400,39600,39600,39600,39600,39600,40500,41600,41600,41600,41600,41600,41600,41600,41600,41600,41600,41600,41600,41600,41600,41600,41600,41600,41600,41700,41700,41700,41700,44500,44500,44500,44500,44500,44500,44500,44500,44500,44500,44500,44500,44500,44500,44500,44500,44500,44500,44500,44500,44500,44500,44500,44500,44500,44500,44500,44500,44500,44500,44500,44500,44500,44500,44500,44500,44500,44500,44500,44500,44500,45900,45900
22300,24300,28100,31400,31400,32200,33400,34100,35500,35700,36400,36400,36400,36400,36400,36400,36400,36400,36400,37000,39200,39200,39200,39200,39200,39200,39200,39200,39200,39200,39200,39200,39200,39200,39200,39200,39200,39200,39200,41200,41200,41300,41300,41300,41300,41300,41300,41300,41300,41300,41300,41300,41300,41300,41300,43200,43200,43200,43200,43200,43200,43200,43200,43200,43200,43200,43200,43200,43200,43200,43200,43200,43200,43200,43200,43200,43200,43200,43200,44100,44600,44600,45500,46400,46400,46400,46400,46400,46400,46400,46400,46400,46400,46400,46400,46400,46400,46400,46400,46400
30500,30500,31300,31300,31400,31600,31600,32700,32900,33600,33600,35800,35800,36000,36000,36400,37100,37100,37100,37300,39100,39100,39300,40300,40300,40300,40900,40900,40900,41100,41100,41100,41100,42900,42900,43000,43000,43000,43000,43000,43000,43000,44800,44800,44800,44800,44800,44900,44900,44900,44900,44900,44900,44900,44900,44900,44900,44900,44900,44900,45300,45800,45800,46200,46200,46200,46200,46200,46200,46200,46200,46200,46200,46200,46200,46200,46200,46200,46200,46600,46600,46600,46800,46800,49500,49500,49500,49500,49500,49500,49500,49500,49500,49500,49500,49500,49500,49500,49500,49500
24700,25100,28800,28800,32200,32200,32200,32500,32600,33500,35200,36100,37400,37500,38300,39400,39400,40800,40800,40800,42800,42800,42800,42800,42800,42800,42800,42800,45000,45000,45000,45000,45000,45000,45000,45300,45300,45300,45300,45300,45300,45300,45300,45300,45300,45300,45300,45300,45300,45300,45300,46500,46500,47600,47600,47600,47600,47600,47600,47600,47600,47600,47600,47600,47600,47600,47600,47600,48600,48600,48600,48600,48600,48600,48600,48600,48600,48600,48600,48600,48600,48600,48600,48600,48600,48600,48600,48600,48600,48600,48600,48600,48600,48600,48600,48600,48600,48600,48600,48600
24400,27400,27400,27400,27400,29100,31200,32400,33500,33500,33500,34600,34600,34800,35500,36100,36100,36100,36900,37400,37400,37800,37800,39600,39600,39600,39800,39800,39800,39800,39800,39800,39800,39800,39800,39800,39800,39800,39800,39800,39800,39800,39800,39800,39800,39800,39800,39800,39800,39800,39800,39800,39800,39800,39800,39900,41400,41400,41400,41400,41400,41400,41400,41400,41400,41400,41400,41400,41400,41400,41400,41400,41400,41400,41400,41400,41400,41400,41400,41400,41400,42600,42600,42600,42600,42600,42600,42600,42600,42600,42600,42800,42800,42800,42800,42800,42800,42800,42800,42800
23400,25100,25300,29200,31700,31700,31700,33600,38200,38200,38300,38300,38300,39800,39800,39800,39900,39900,41700,41700,42600,42600,42600,44400,44400,44400,44600,44600,44600,44600,44600,44600,44600,44600,44600,44600,44600,44600,44600,44600,44600,44600,44600,44600,44800,44800,44800,44800,44800,44800,44800,44800,44800,45200,45200,45200,45200,45200,45200,45200,45200,45400,45500,46900,47500,48800,49200,50100,50100,50100,50100,50100,50100,50100,50100,50100,50100,50100,50100,50100,50100,50100,50100,50100,50100,50100,50100,50100,50100,50100,50100,50100,50100,50100,50100,50100,50100,50100,50100,50100
25400,25400,25400,30800,30800,32100,32100,32700,32900,32900,33000,33200,33200,34100,34100,36100,36100,36100,36100,36100,36100,36100,36100,36100,36100,36100,36100,36100,36100,36100,36100,36100,36100,36200,36200,36200,36700,36700,36700,36700,36700,36700,36700,36700,36700,36700,36700,36700,38000,38400,38400,38400,38400,38400,38400,38400,38400,38400,38400,38400,38400,38400,38400,38400,38500,38700,38700,38700,38700,38700,38700,38700,38700,39100,39100,39100,39100,39100,39100,39200,39200,39200,39200,39200,39200,39200,39200,39200,39200,39200,39200,39200,39200,39200,39200,39200,39200,39200,39200,39200
24800,27500,30300,30300,32400,33000,33500,36500,36700,37200,39500,40600,40600,40600,40600,40600,40600,40600,40600,40600,41900,41900,41900,41900,41900,41900,41900,41900,41900,41900,41900,41900,41900,41900,41900,41900,41900,41900,41900,41900,41900,43600,43600,43600,45000,45000,46700,46700,46700,46700,46700,46700,46700,46700,46700,46700,46700,46700,46700,46700,46700,46700,46700,46700,46700,46700,46700,46700,46700,46700,46700,46700,46700,46700,46700,46700,46700,46700,46700,46700,46700,46700,46700,46700,46800,46800,46800,46800,46800,46800,46800,46800,46800,46800,46800,46800,46800,46800,46800,46800
22100,25400,26300,29000,30100,30100,31000,34200,34200,34200,34200,34900,34900,35400,35500,35500,35500,35500,35500,35500,35500,35500,35500,35500,35500,35500,35500,35500,35500,35500,37900,37900,37900,38100,38100,38100,38100,38100,38100,38100,38100,38100,38100,38100,38100,38100,38100,38100,38100,38100,38100,38200,38200,38200,38200,38200,38200,38200,38200,38200,38200,38200,38200,38200,38200,38200,38200,38200,38900,38900,38900,38900,38900,38900,38900,39700,39700,39700,39900,39900,39900,39900,39900,39900,39900,39900,39900,39900,39900,39900,39900,39900,41200,41200,41200,41200,41200,41200,41200,41200
30700,30700,30700,32200,32200,32200,32200,33500,33500,34400,34400,36800,36800,36800,36800,36800,36800,36800,36800,37500,37500,38200,38900,38900,38900,38900,38900,38900,38900,38900,38900,38900,39600,39600,39600,39700,39700,39700,39700,39700,39700,39700,39700,40700,40700,40700,40700,40700,40700,40700,41000,41000,41000,41000,41000,41000,41000,41000,41000,41000,41000,41000,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,43100,43100,43100,43100,43100,43100,43100,43100,43100,43100,43100,43100,43100,43100,43100,43100,43100
23000,27600,27600,28400,32000,32000,33600,36500,36500,37500,38100,38400,40300,41600,41600,41900,41900,42200,42200,42700,42700,42700,42700,42700,42700,42700,42700,42700,42700,42700,44700,44700,45200,45200,45200,45200,49300,49300,49400,49400,49400,49400,50500,50500,50500,50500,50600,50600,50600,50600,50600,51600,51600,51600,51600,51600,51600,51600,51600,51600,51600,51600,51600,51600,51600,51600,51600,51600,51600,51600,51800,51800,51800,51800,51800,51800,51800,51800,51800,51800,51800,51800,51800,51800,51800,51800,51800,51800,51800,51800,51800,51800,51800,51800,51800,51800,51800,51800,51800,51800
30500,30500,30500,31600,31800,33500,36700,36700,39700,39700,42000,42000,42000,42000,42000,42600,42600,42600,42600,42600,42600,42600,42600,42600,42600,42600,42600,44700,44700,44700,44700,44700,44700,44700,44700,44700,44700,44700,44700,46000,46000,46000,46000,46000,46000,46000,46000,46000,46000,46000,46000,46000,46000,46000,46000,46000,46000,46000,46000,46000,46000,46000,46000,46000,46000,46000,46000,46000,46000,46000,46100,46100,46100,46200,46200,46200,46200,46200,46200,46200,46200,46300,46300,46300,48200,48200,49300,49300,49300,49300,49300,49300,49300,49300,49300,49300,49300,49300,49300,49300
22700,26700,28100,31200,31200,31200,31600,32400,32400,33200,34700,35100,35700,36700,36700,36700,39200,39200,40200,40200,40200,40200,40200,40200,40200,40200,40200,40200,40200,40200,40200,40200,40200,40200,40200,40200,40200,40200,40200,40200,40200,42100,42100,42100,42100,42100,42100,42100,42100,42100,42100,42100,42100,42100,42200,42200,42200,44700,44700,44700,44700,44700,44700,44700,44700,44700,44700,44700,44700,44700,44700,44700,44800,44800,44800,44800,44800,44800,44800,44800,44800,44800,44800,44800,44800,44800,44900,44900,44900,44900,44900,44900,44900,44900,44900,44900,44900,44900,44900,44900
22600,27000,27000,27800,29900,29900,30800,32900,32900,33800,35600,35600,36500,37500,37500,37500,37500,37600,37600,37600,37600,37600,38400,38400,39700,39700,39700,39700,39700,39700,39700,39700,39700,39800,39800,39800,39800,39800,39800,39800,39800,39800,40000,40900,40900,40900,40900,40900,40900,40900,41100,41100,41100,42200,42200,42200,42200,42200,42200,42200,42200,42200,42200,42200,42200,42200,42200,42500,42500,42700,42700,42700,42700,42700,42700,42700,42700,42700,42700,42700,42700,42700,42700,42700,42700,42700,42700,42700,42700,42700,42700,42700,42700,42700,42700,42700,43200,43200,43200,43200
23700,25200,26400,30200,30200,30200,33000,34100,37200,39900,39900,40500,40500,40900,40900,42400,42400,42400,43600,43600,43600,43600,43600,43600,44500,45100,45100,45200,46400,46400,46400,47500,47500,47500,47500,47500,47500,47500,47500,47500,47500,47500,47500,47500,47500,47500,47500,47500,47500,47500,47500,47500,47500,47500,47500,47500,47500,47500,47600,47600,47600,47600,48600,48600,49200,49200,49200,49200,49200,49200,49200,49200,49200,49200,49200,49200,49200,49200,49200,49200,49200,49200,49200,49200,49200,49200,49200,49200,49200,49200,49200,49200,49200,49200,49200,49200,49200,49200,49200,49200
