0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
21900,25300,25300,26800,26800,26800,26800,26800,27900,27900,28700,28700,28700,29000,32800,32800,32800,32800,32800,32800,32800,32800,32800,32800,32800,33100,33100,33100,34800,34800,34800,34900,34900,34900,34900,34900,34900,34900,34900,34900,34900,34900,34900,34900,34900,34900,34900,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000
20000,20000,24800,24800,24800,24900,26300,26300,26300,28100,28100,28100,29200,30100,30100,30100,31800,31800,31800,31800,35800,35800,35800,35800,36400,37500,37500,37800,37800,37800,37800,37800,37800,37800,37800,37800,37800,37800,37800,37800,37800,37800,37800,37800,37800,37800,38200,38200,38200,38200,38200,38200,38200,38200,38200,38200,38200,38200,38200,38200,38200,38200,38200,38200,38600,38600,40900,40900,41500,41500,41500,41500,41900,42600,42600,42600,42600,42800,43500,43500,43500,43500,44100,44100,44100,44100,44100,44100,44100,44100,44100,44100,44100,44100,44100,44100,44100,44100,44100,44100
23000,24200,24200,25600,27400,27400,27400,27400,27400,27400,28700,30000,30000,31800,31800,31800,32900,32900,33200,33200,33200,33200,33200,33200,33200,33200,33200,33200,33200,33200,33200,33200,33200,33200,33200,33200,33200,33200,33200,33200,33200,33200,33200,33200,33200,33200,33200,33200,33200,33200,33200,33200,33200,33200,33200,33200,33200,33200,33200,33200,33300,33300,34000,34000,34000,34000,34000,34000,34000,34000,34000,34000,34000,34000,34000,34000,34000,34000,34000,34000,34000,34000,34000,34000,34000,34000,34000,34000,34000,34000,34000,34000,34000,34000,34000,34000,34000,34000,34000,34000
23600,23600,23600,24700,26300,30700,30700,30700,30700,31200,31400,32400,33400,33400,34100,36600,36600,36600,36600,36600,36600,36600,36600,36600,36600,36600,36600,36600,36600,36600,36600,36600,36600,36600,36600,36600,36600,36600,36600,36600,36600,36600,36600,36600,36600,36600,36600,36600,36600,36600,36600,36600,36600,36600,36600,36600,36600,36600,36600,36600,36600,36600,36600,36600,36600,36600,36600,36600,36600,36600,36600,36600,36600,36600,36600,36600,36600,36600,36600,36600,36600,36600,36600,36600,36600,37400,37400,37400,37400,37400,37400,37400,37400,37400,37400,37400,37400,37400,37400,37400
19500,22600,22600,23100,23100,25100,25100,25100,27100,27100,27100,28100,28100,28100,28100,29200,30800,30800,30800,30900,33000,33000,33000,33000,33000,33000,33000,33000,33000,34800,34800,34800,34800,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,36600,36600,36600,36600,36600,36600,36600,36600,36600,36600,36600,36600,36600,36600,36600,36600,36600,36600,36600,36600,36600,36600,36600,36600,36600,36600,36600,36600,36600,36600,36600,36600,36600,36600,36600,36600
21700,21700,24700,24700,26500,26500,26800,28500,28500,29300,30300,30300,30900,31900,32700,33000,33100,34400,36400,36400,36400,36400,36400,36400,36400,36400,36400,37200,37200,37200,37700,39600,39600,39600,39600,40400,40400,40900,40900,40900,40900,40900,40900,40900,40900,40900,40900,40900,40900,40900,40900,40900,40900,40900,40900,40900,40900,40900,40900,40900,40900,40900,40900,40900,40900,40900,40900,40900,40900,40900,40900,40900,40900,40900,40900,40900,40900,40900,40900,40900,40900,40900,40900,40900,40900,40900,40900,40900,40900,40900,40900,41000,41000,42100,42700,42700,42700,42700,42700,42700
20200,20200,21700,21700,27300,27300,27300,27300,28800,29400,30200,30200,30200,30200,30200,32300,32300,32300,34300,34300,34300,34300,34300,34300,35300,35300,35300,35300,35300,35300,35300,35300,37000,37500,37500,37500,37500,38300,38300,39700,39700,39700,40600,40600,40600,40600,40600,40600,40600,40700,40700,43800,43800,45400,45400,45400,45500,46300,46300,46400,46400,46400,46400,46400,46400,46400,46400,46400,46400,46400,46400,46400,46400,46400,46400,46400,46400,46400,46400,46400,46400,46400,46400,46400,46400,46400,46400,46400,46400,46400,46400,46400,46400,46400,46400,46400,46400,46400,46400,46400
21000,23000,23000,23700,25500,25500,26700,27400,28200,28700,28700,30800,30800,31300,31300,31300,31500,31500,31500,31500,31500,31500,32100,32100,32100,33300,33300,33300,33300,33300,33300,33300,33300,33300,33300,33300,33300,33300,33300,33300,33300,33300,33300,33300,33300,33300,33300,33300,33300,33300,33300,33300,33300,33300,33300,34900,34900,34900,36500,36500,36500,36500,36500,36500,36500,36500,36500,36500,36500,36500,36500,36500,36500,36500,36500,36500,36500,36500,36500,36500,36500,36500,36500,36500,36500,36500,36500,36500,36500,36500,36500,36500,36500,36500,36500,36500,36500,36500,36500,36500
25700,25700,25700,25700,33300,33300,33300,33300,35500,36800,36800,40500,40500,40500,40500,40500,40500,40500,40500,40500,40500,40500,40500,40500,40500,40500,40500,40500,40500,40500,40500,40500,40500,40500,40500,40500,40500,40500,40500,40500,40500,40500,40500,40500,40500,40500,40500,40500,40500,40500,40500,40500,40500,40500,40500,40500,40500,40500,40500,40500,40500,40500,40500,40500,40500,40500,40500,40500,40500,40500,40500,40500,40500,40500,40500,40500,40500,40500,40500,40700,40700,40800,40800,40800,40800,40800,40800,40800,40800,40800,40800,40800,40800,40800,40800,40800,40800,40800,40800,40800
23800,27500,27500,27500,29100,29100,30800,34700,34700,35600,35600,35600,35600,35600,35600,35600,35900,35900,36200,36200,36200,36200,36200,36200,36200,36200,36200,36200,36200,36200,36200,36200,36200,36200,36200,36200,36200,36300,38300,38300,38300,39400,39400,39400,39400,39400,39400,39600,39600,39600,39600,39600,39600,39600,39600,39600,39700,39700,39800,39800,39800,39800,39800,39800,39800,39800,39800,41800,41800,41800,41800,41800,41800,41800,41800,41800,41800,41800,41800,41800,41800,41800,41800,41800,41800,41800,41800,41800,41800,41800,41800,41800,41800,41800,41800,41800,41800,41800,41800,41800
