0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
20100,20100,21600,21600,21600,22500,22500,23600,26600,26600,26600,26700,26700,28100,28100,28100,28100,28100,28200,28200,28200,28200,28200,28200,28200,28200,28200,28300,28300,28400,28900,28900,28900,30400,30400,30400,30400,30400,30400,30400,30400,30400,30400,30400,30400,30400,30400,30400,30400,30400,30400,30400,30400,30400,30400,30400,30400,30400,30400,30400,30400,30400,30400,30400,30400,30400,30400,30400,30400,30400,30400,30400,30400,30400,30400,30400,30400,30400,30400,30400,30400,30400,30400,30400,30400,30400,30400,30400,30400,30400,30400,30400,30400,30400,30400,30400,30400,30400,30400,30400
17300,21700,21700,21700,21800,24600,24700,26800,26800,26800,26800,26800,26800,26800,26800,33500,33500,33500,33500,33500,33500,33500,33500,33500,35000,35000,35000,35000,35200,35200,35200,35200,35200,35200,35200,35200,35200,35200,35200,35200,35200,35200,35200,35200,35200,35200,35200,35200,35200,35200,35200,35200,35200,35200,35200,35200,35200,35200,35200,35200,35200,35200,35200,35200,35200,35200,35200,35200,35200,35200,35200,35200,35200,35200,35200,35200,35200,35200,35200,35200,35200,35200,35200,35200,35200,35200,35200,35200,35200,35200,35200,35200,35200,35200,35200,35200,35200,35200,35200,35200
20600,22400,22400,22600,22600,24200,24200,25100,25100,25100,25100,27500,27500,27500,27500,27500,27500,28300,28300,29400,29400,29400,29400,29400,29400,29400,29400,29400,29400,29400,29400,29400,29400,29400,29400,29400,29400,29400,29400,29400,29400,29400,29400,29400,29400,29400,29400,29400,29400,29400,29400,29400,29400,29400,29400,29400,29400,29400,29400,29400,29400,29400,29400,29400,29400,29400,29400,29400,29400,29400,29400,29400,29400,29400,29400,29400,29400,29400,29400,29400,29400,29400,29400,29400,29400,29400,29400,29400,29400,29400,29400,29400,29400,29400,29400,29400,29400,29400,29400,29400
22200,22200,22200,22200,22200,22200,22200,22200,22200,22200,22200,23000,24400,24400,24800,25000,25000,25000,25000,25000,25400,25400,25400,26800,26800,27000,27000,27000,27000,27000,27000,27000,27000,27000,27000,27000,27000,27000,27000,27000,27000,27000,27000,27000,27000,27000,27000,27000,27000,27000,27000,27000,27000,27000,27000,27000,27000,27000,27000,27000,27000,27000,27000,27000,27000,27000,27000,27000,27000,27000,27000,27000,27000,27000,27000,27000,27000,27000,27000,27000,27000,27000,27000,27000,27000,27000,27000,27000,27000,27000,27000,27000,27000,27000,27000,27000,27000,27000,27000,27000
22600,22600,23900,24500,25000,25000,25000,29400,29400,29400,29400,29400,29400,29400,29400,29400,29400,29400,29400,29400,29400,29400,29400,29400,31200,31200,31200,31200,31200,31200,31200,31200,31200,31200,31200,31200,31200,31200,31200,31200,31200,31200,31200,31200,31200,31200,31200,31200,31200,31200,31200,31200,31200,31200,31200,31200,31200,31200,31200,31200,31200,31200,31200,31200,31200,31200,31200,31200,31200,31200,31200,31200,31200,31200,31200,31200,31200,31200,31200,31200,31200,31200,31200,31200,31200,31200,31200,31200,31200,31200,31200,31200,31200,31200,31200,31200,31200,31200,31200,31200
23400,23400,23400,23400,23400,23400,23400,23400,23400,27700,27700,27700,27700,27700,27700,27700,29600,29600,29800,29800,29800,29800,29800,29800,29800,29800,29800,29800,29800,29800,29800,29800,29800,29800,29800,29800,29800,29800,29800,29800,29800,29800,29800,29800,29800,29800,29800,29800,29800,29800,29800,29800,29800,29800,29800,29800,29800,29800,29800,29800,29800,29800,29800,29800,29800,29800,29800,29800,29800,29800,29800,29800,29800,29800,29800,29800,29800,29800,29800,29800,29800,29800,29800,29800,29800,29800,29800,29800,29800,29800,29800,29800,29800,29800,29800,29800,29800,29800,29800,29800
21900,21900,22700,22700,22900,22900,22900,23900,23900,23900,24700,24700,26700,27000,27000,27000,27800,27800,27800,27800,27800,29700,29700,29700,30100,30100,30600,30800,32200,32200,32200,32200,32700,34100,34100,34100,34100,34100,34100,34100,34100,34100,34100,34100,34100,34100,34100,34100,34100,34100,34100,34100,34100,34100,34100,34100,34100,34100,34100,34100,34100,34100,34100,34100,34100,34100,34100,34100,34100,34100,34100,34100,34100,34100,34100,34100,34100,34100,34100,34100,34100,34100,34100,34100,34100,34100,34100,34100,34100,34100,34100,34100,34100,34100,34100,34100,34100,34100,34100,34100
23700,23700,23700,23700,23700,23700,23700,23700,23700,24900,24900,24900,26800,26800,26800,26800,26800,26800,27100,27100,27100,27600,27700,27700,27700,27700,27700,27700,27700,27700,27700,27700,27700,27700,27700,27700,27700,27700,27700,27700,27700,27700,27700,27700,27700,27700,27700,27700,27700,27700,27700,27700,27700,27700,27700,27700,27700,27700,27700,27700,27700,27700,27700,27700,27700,27700,27700,27700,27700,27700,27700,27700,27700,27700,27700,27700,27700,27700,27700,27700,27700,27700,27700,27700,27700,27700,27700,27700,27700,27700,27700,27700,27700,27700,27700,27700,27700,27700,27700,27700
22500,22500,24400,26200,27200,27200,27200,27700,27700,28200,28200,28200,28400,28500,29300,29300,29300,29300,30300,32400,32400,32400,32400,32400,32400,32400,32900,35100,35100,35100,35100,35100,35100,35100,35100,35100,35100,35100,35100,35100,35100,35100,35100,35100,35100,35100,35100,35100,35100,35100,35100,35100,35100,35100,35100,35100,35100,35100,35100,35100,35100,35100,35100,35100,35100,35100,35100,35100,35100,35100,35100,35100,35100,35100,35100,35100,35100,35100,35100,35100,35100,35100,35100,35100,35100,35100,35100,35100,35100,35100,35100,35100,35100,35100,35100,35100,35100,35100,35100,35100
22300,23800,24700,24700,24700,26400,28100,30100,30100,30100,30100,30200,30200,30200,30200,30200,30200,30200,30200,30200,30200,30200,30200,30200,30200,30200,30200,30200,30200,30200,30200,30200,30200,30200,30200,30200,30200,30200,30200,30200,30200,30200,30200,30200,30200,30200,30200,30200,30200,30200,30200,30200,30200,30200,30200,30200,30200,30200,30200,30200,30200,30200,30200,30200,30200,30200,30200,30200,30200,30200,30200,30200,30200,30200,30200,30200,30200,30200,30200,30200,30200,30200,30200,30200,30200,30200,30200,30200,30200,30200,30200,30200,30200,30200,30200,30200,30200,30200,30200,30200
