0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
20700,20700,20700,20700,21600,21700,22600,22600,22600,23000,23300,25600,25600,26700,28000,28000,28000,28000,28200,32400,34700,34700,34700,34700,34700,37100,37100,37100,37100,37400,37400,37400,37400,37400,37400,37400,37400,39500,39500,39500,39500,39500,39500,39500,39500,40800,40800,40800,40800,42800,42800,42800,42800,42800,42800,42800,42800,42800,42800,42800,42800,42800,42800,42800,42800,42800,42800,42800,42800,42800,42800,42800,42800,42800,42800,42800,42800,42800,42800,42800,42800,42800,42800,42800,43400,43400,43400,43400,43400,43400,43400,43400,43500,43500,43500,43700,43700,43700,43700,43700
24500,24900,26500,26500,26500,26500,26500,26500,26500,29600,29600,29600,29600,29600,29600,29600,29600,34700,34700,34700,34700,34700,34700,34700,34700,35100,35100,35100,35100,37000,37400,37400,37400,37400,37400,37400,37400,37500,37500,37500,37500,37500,37500,37500,37500,37500,37500,37500,37500,38800,38800,38800,38800,38800,38800,38800,38800,38800,38800,38800,38800,38800,38800,38800,38800,38800,38800,38800,38800,38800,38800,38800,38800,38800,38800,38800,40200,40200,40200,40200,40200,40200,40200,40200,42800,42800,42800,42800,42800,42800,42800,42800,42800,42800,42800,42800,46900,46900,46900,46900
28100,28100,28100,28100,28100,28100,28100,28100,28100,28100,28100,28500,28500,28500,28500,28500,28900,28900,28900,28900,28900,28900,28900,28900,28900,29800,29800,29800,29800,29800,31400,31400,31400,31400,32100,32100,32100,32100,32100,32100,32100,32100,32100,32100,32100,32100,32100,32100,32500,32500,32500,32500,32500,32900,32900,32900,32900,32900,32900,32900,32900,32900,32900,32900,33800,33800,35100,35100,35100,35100,35100,35100,35100,35100,35100,35100,35100,35200,35200,35200,35200,35200,35200,36600,36600,36600,36600,36600,36800,36800,36800,36800,36800,37800,37800,37800,37800,37800,37800,37800
23100,23100,23100,23100,23100,23100,23900,23900,23900,23900,23900,23900,23900,23900,23900,23900,23900,23900,23900,23900,23900,23900,23900,24400,24400,24700,24700,24900,25500,25500,25500,27200,27200,27200,27200,27200,27200,27600,27600,27600,27600,27600,27600,27600,29000,29000,29000,29000,29000,29000,29000,29000,29000,29000,29100,29100,30700,30700,30700,30700,30700,30700,30700,30700,30700,30700,30700,30700,30700,30700,30700,31600,31600,31600,31800,33500,33500,33500,33500,33500,33500,33500,33500,33500,33500,33500,33500,33500,33500,33900,33900,33900,33900,33900,33900,33900,33900,33900,35400,35400
23400,23400,23400,23400,23400,23900,25500,25500,26500,26600,26600,26600,26600,26600,28600,28600,31400,31400,33100,33100,33100,33100,33100,33600,33600,33600,33600,33600,33600,35100,35100,35700,35700,35700,35700,35700,35700,35700,35700,35700,35700,35700,35700,35700,35700,35700,35700,35700,36600,36600,36600,36600,38500,38500,38500,38500,38500,38500,38500,38500,38500,38500,38500,38500,38500,38500,38500,38500,38500,38500,38500,38500,38500,38500,38500,38500,39200,39200,39200,39200,39200,39200,39200,39200,39200,39200,39200,39200,39200,39200,39200,39200,39200,39200,39200,39200,39200,39200,39200,39200
23000,23000,23000,23000,23000,25000,25000,25000,25000,25000,25000,25000,25900,25900,25900,25900,28400,28400,28400,28400,28400,28400,28400,28400,28400,28400,28400,28400,28400,28600,28600,28600,28600,28600,28600,28600,28600,28600,28600,28600,28600,30200,30200,30200,30200,30200,30700,30700,30700,30700,32100,32100,32100,32100,32100,32100,32100,32100,32100,32100,32100,32100,32100,32600,32600,32600,32600,32600,32600,32600,32600,32600,32600,33300,33300,33300,33300,33300,33300,33300,33300,33600,33600,35900,35900,35900,35900,35900,35900,35900,35900,35900,38600,38600,38600,38600,38600,38600,38600,38600
25700,25700,25700,25700,25700,25700,25700,26000,26300,26400,28700,28700,28700,30700,30700,30700,30700,30700,30700,30800,30800,30900,30900,32800,32800,32800,32800,32800,32800,32800,32800,32800,32800,33900,33900,33900,33900,33900,33900,33900,33900,33900,33900,33900,33900,33900,33900,33900,33900,34200,34500,34500,34500,35900,35900,35900,35900,37300,37300,37500,37500,37500,37500,37500,37500,37500,37500,37500,40900,40900,40900,42300,42300,42300,42300,42300,42300,42300,42300,42300,42400,42400,42400,42400,42400,42400,42400,42400,42400,42400,42400,42400,43700,43700,43700,43700,43700,43700,43700,43700
23500,23500,23500,23500,23500,23500,25400,25400,25400,25400,25400,25400,25400,27100,27100,27100,27100,27100,27100,27100,29500,29500,29500,29500,29500,29500,29500,29500,29500,29500,29500,29900,29900,29900,29900,29900,29900,29900,29900,29900,29900,29900,29900,30000,30000,30800,30800,31500,31500,32300,32300,32300,32300,32300,32300,32300,32300,32300,32300,32300,32300,32300,32300,32300,32300,32300,32300,32300,32300,32300,32300,32300,32300,32300,32300,32300,32300,32300,32300,32300,32300,32300,32300,32300,32300,32300,32300,32300,32300,32300,32300,32300,32300,32300,32300,32300,32300,32300,32300,32300
20400,20400,20400,23500,23500,23500,23500,24600,24600,24600,24800,24800,24800,25100,28500,28500,28500,28500,28500,28500,28500,28600,28600,28600,28600,28600,28600,28600,28800,28800,28800,28800,28800,28800,28800,30900,30900,30900,30900,30900,30900,31800,31800,31800,34200,34200,35600,35600,35600,35600,35600,35600,35600,35600,35600,35600,35600,35600,35600,35600,35600,35600,35600,35600,35600,35600,35600,35600,35600,35600,35700,35700,35700,35700,36100,36700,36700,36700,36700,36700,36700,36700,36700,36700,36700,36700,36700,38500,38500,38500,38500,38500,38500,39600,39600,39600,39600,39600,39600,39600
20300,20300,28300,28300,28300,28300,28300,28300,28300,28300,28300,28300,28300,28300,28300,28300,28300,28300,28300,28300,28300,28300,28500,29000,29000,29000,29000,29400,32400,32400,33500,33500,33500,33500,33500,33500,33500,33500,33500,33500,33500,33500,35200,35200,35200,35200,35200,35200,35200,35200,35200,35200,35200,35200,35200,35200,35200,35200,35200,35300,35300,35300,36000,36000,36000,36000,36000,37100,37100,37100,37100,37100,37100,37100,37100,37100,37100,37800,37800,37800,37800,37800,37800,37800,37800,37800,37800,37800,38300,38300,38300,38300,38300,38300,38300,38300,38300,38300,38300,38300
