0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
23500,23500,23500,23500,26000,26000,26000,26000,27700,27700,27700,28900,28900,29600,30600,30700,30700,33100,33100,33800,35000,35000,36700,36700,36700,37200,37200,37200,38900,38900,38900,38900,39300,39300,39300,39300,40300,40300,40300,40500,40500,40500,44000,44000,44000,44000,46000,46000,46000,46000,46000,46000,46000,46000,46000,46000,46000,46000,46000,46000,46000,46000,48000,48000,48000,48000,48000,48000,48000,48000,48000,48000,48000,48000,48000,48000,48000,48000,48000,48000,48000,48000,48000,48000,48100,48100,49400,49400,49400,49400,49400,49400,49400,49400,49400,50400,50400,50400,50400,50400
24800,24800,24800,27100,27100,29900,29900,29900,29900,30900,31000,33200,34300,34300,34300,35300,35800,35800,36800,37400,38700,38700,38700,38700,39200,39400,39400,39400,39400,39400,40300,40400,40400,40500,41100,41100,41200,42400,42400,42400,42400,42400,42400,42400,42400,42400,43300,43900,43900,43900,43900,45200,45200,45200,45200,45300,45300,45300,45300,45300,45300,45300,46600,46600,47100,47100,47100,47100,47900,48400,48400,49200,49200,49200,49200,49200,49200,49200,49200,49200,49200,49200,49200,49200,49200,49200,49200,49200,49200,49200,49200,49200,49200,49200,49200,49200,49200,49200,49200,49200
23100,23700,23700,25700,26200,26200,27100,28800,31200,34000,34000,34000,34000,35600,35600,35600,35600,35600,35600,36800,37500,37500,37500,37500,37500,37500,37500,37500,38900,38900,39100,39100,39100,39100,39100,40000,40000,40000,40000,42200,42200,42600,44500,44500,44500,44500,45200,48200,48200,48200,48200,48200,48200,48200,48200,48200,48200,48200,48200,48200,48200,48200,48200,48200,48300,49800,49800,49800,49800,49800,49800,49800,49800,49800,49800,49800,49800,49800,49800,49800,49800,49800,49800,49900,49900,49900,49900,49900,49900,49900,49900,49900,49900,49900,49900,49900,49900,49900,49900,49900
21900,24600,26100,29200,29200,29200,29200,29200,30500,30500,32500,32500,33400,33400,33500,33500,33500,33500,36500,36600,37000,38100,38200,38700,40100,40100,42000,42000,42000,42000,42000,43500,43500,43500,43500,43500,43500,43500,43500,43500,43500,43500,43500,43500,43500,43500,43500,43500,43500,43500,43500,43500,43500,43500,43500,43500,43500,43500,43500,43500,43500,43500,43500,43500,43500,43500,43500,43500,43500,43500,43500,43500,43500,43500,43500,43500,43500,43500,44000,44000,44000,44000,44000,44000,44500,45000,45000,45000,45000,46000,47700,47700,47700,47700,47700,47700,47700,47700,47700,47700
27500,27500,27500,27500,30100,31200,32300,33800,34700,34700,34700,34700,40500,40500,40600,40600,40600,42600,42600,42600,43300,43300,43300,43300,43300,43300,43300,43300,43300,43300,43300,43300,43300,43400,43400,43400,43400,43400,43400,43800,43800,43800,43800,43800,43800,43800,43800,43800,43900,43900,43900,43900,44100,44100,44100,45500,47400,47400,47400,47400,47400,47400,47400,47400,47400,47400,47400,47400,47400,47400,47400,47400,47400,47400,47400,47400,47400,47400,47400,47400,47400,47400,47400,47400,47400,47400,47400,47400,47400,47400,47400,47400,47400,47400,47400,47400,47400,47500,47500,47500
24400,24400,24400,25400,25400,26600,26600,27600,29400,29400,29400,35500,35500,35500,35500,37000,37000,38400,39200,39200,39200,39200,41800,42300,43200,43200,43200,43200,43200,43200,45900,45900,45900,45900,45900,45900,45900,45900,45900,45900,45900,45900,45900,45900,45900,45900,45900,45900,45900,45900,45900,45900,45900,45900,46500,46500,46500,46500,46500,46500,46500,46500,46500,46500,46500,46500,46500,46500,46500,46500,46500,46500,46500,46500,46500,46500,46500,46500,47100,47400,47400,47400,47400,47400,47400,47400,47400,47400,47400,47400,47400,47400,47400,47400,47500,47500,47500,47500,47500,47500
17900,19400,19500,22100,22500,25200,25200,25600,25900,27400,27400,28800,29300,29300,29300,29300,31700,31700,31800,31800,31800,32400,32400,32400,32400,33300,33300,35500,35500,35500,35500,35800,35800,35800,36000,36000,36000,36000,36000,36000,36000,36000,36000,36000,37000,38400,38400,38400,38400,38400,38400,39700,40400,40400,40400,40400,40400,40400,40400,40400,40400,40400,40400,40400,40400,40400,40400,40400,40400,40400,40400,44400,44400,44400,44400,44400,44400,44400,44400,44400,44400,44400,45600,49700,49700,49700,49700,49700,49700,49700,49700,49700,49700,49700,49700,49700,49700,49700,49700,49700
21700,21700,21700,24800,24800,27300,29000,29000,29000,29000,31500,32200,32200,32200,32600,33300,35700,35700,35700,35700,35700,38300,38300,38300,38300,38300,38300,38700,39100,40700,40700,43500,43500,43500,43500,43500,43500,43500,43500,43500,43500,43500,43500,43500,43500,43500,43500,43500,43500,43500,45400,45400,45400,46000,46000,46000,46000,46000,46000,46000,46000,46000,46000,46000,46000,46000,46000,46000,46000,46000,46000,46000,46000,46000,46000,46000,46000,46400,46400,46400,46400,46400,46400,46400,46600,46600,46600,46600,46600,46600,46600,46600,46600,46600,46600,46600,46600,46600,46600,46600
21000,22000,25200,25200,27300,27300,27300,27900,29300,29700,29700,29700,30400,30400,30400,32600,32700,32700,32700,33500,34700,34700,34700,36100,36100,36100,36200,36200,36200,36300,37700,37700,38800,38800,40500,40500,40500,40500,40500,40500,40500,40500,41100,41100,41100,41100,41100,41100,42900,42900,43600,43600,43600,43600,43600,43600,43600,43600,43600,43600,43600,43600,43600,43600,43600,43700,43700,43700,43700,43700,43700,43700,43700,43700,43700,43700,43700,43700,43700,43700,45400,45400,45400,45400,45400,45400,45400,45400,45400,45400,45400,45400,45400,45900,45900,45900,45900,45900,45900,48400
19600,20800,21000,24200,24200,27800,27800,27800,27800,29700,29700,29700,29800,29800,29800,31800,31800,31800,31800,31800,31800,32100,32100,34000,34100,35400,35400,36000,36400,37300,37300,37300,37900,37900,37900,37900,37900,37900,37900,37900,38000,38000,40000,40600,40600,40600,40600,40600,40600,40600,40600,40600,40800,40800,40800,40800,40800,40800,40800,40800,40800,40800,40800,40800,40800,40800,40800,41100,41100,41100,41100,41100,41100,43200,43200,43200,43200,43200,43200,43200,43200,43200,43200,43200,43200,43200,44700,44700,45400,45400,45400,45400,45400,45400,45400,45400,45400,45400,46500,46500
