0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
21400,21400,22500,26900,26900,28700,30500,30700,31100,32500,32500,32500,34400,34400,34700,34700,34700,34700,34700,34700,34700,34700,34700,34700,34700,37100,37300,37300,37300,37300,37300,37300,37300,37300,37300,37300,37300,38500,38500,38500,38500,38500,38500,38500,38500,38500,38500,38500,38500,38500,38500,38500,38500,38500,38500,38500,38500,38500,38500,39800,39800,40200,40200,40200,40200,40200,40200,40200,40200,40200,40200,40200,40200,41500,41500,41500,41500,41500,41500,41500,41500,41500,41500,41500,41500,41500,41500,41500,41500,41500,41500,41500,41500,41500,41500,41500,41500,41500,41500,41500
20500,22400,22400,25000,25000,26100,27700,28700,28700,29500,29500,29500,29500,29500,29500,29500,31000,32200,32200,32200,32200,32200,32200,34700,34700,34700,34700,34700,34700,34700,34700,34700,34700,34700,34700,34700,34700,34700,34700,34700,35100,35800,35800,35800,35800,35800,35800,35800,35800,35800,35800,35800,35800,35800,35800,36800,36800,39700,39700,39700,39700,39700,39700,39700,39700,39700,39700,39700,39700,40100,40100,40800,40800,40800,40800,40800,40800,40800,40800,40800,40800,40800,40800,40800,40800,40800,40800,40800,40800,40800,40800,40800,40800,40800,40800,40800,40800,40800,40800,40800
20500,20700,21700,25500,25500,26300,26300,29500,29500,32400,33800,36800,36800,37300,37300,37300,37300,39000,39000,39000,39000,39000,39000,39000,39000,39000,39000,39000,39000,39000,39000,39000,39000,39000,39000,39000,39000,39000,39000,39000,39000,39000,39000,39000,39000,39000,39000,39000,44000,46500,46500,46500,46500,46500,46500,46500,46500,46500,46500,46500,46500,46500,46500,46500,46500,46500,46500,46500,46500,46500,46500,46500,46500,46500,46500,46500,46500,46500,46500,46500,46500,46500,46500,46500,46500,46500,46500,46500,46500,46500,46500,46500,46500,46500,46500,46500,46500,46500,46500,46500
22200,22200,24400,24400,24400,25300,27800,28200,32800,32800,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35700,37400,37400,37400,37400,37400,37400,37400,37400,37400,37400,37400,37400,37400,37400,37400,37400,37400,37400,37400,37400,37400,37400,37400,37400,37400,37400,42500,43900,45900,45900,45900,47400,47400,47400,47400,47400,47400,47400,47400,47400,47400,47400,47400,47400,47400,47400,47400,47400,47400,47400,47400,47400,47400,47400,47400,47400,47400,47400,47400,47400,47400,47400,47400,47400,47400,47400,47400,47400,47400,47400,47400,47400,47400,47400,47400,47400,47400,47400,47400
22400,27200,28700,28700,28700,30700,32400,32400,34100,34800,35900,35900,35900,35900,35900,35900,35900,35900,35900,35900,35900,35900,37300,37300,37300,37300,37300,37300,37300,37300,37300,37300,37300,37300,37300,37300,37300,37300,37300,37300,37300,37300,37300,37300,37300,37300,37300,37300,37300,37300,37300,37300,37300,37300,37300,37300,41200,41200,41200,41200,41200,41200,41200,41200,41200,41200,41200,41200,41200,41200,41200,41200,41200,41200,41200,41200,41200,41200,41200,41200,41200,41200,41200,41200,41200,41200,41200,41200,41200,41200,41200,41200,41200,41200,41200,41200,41200,41200,41200,41200
20300,21900,21900,27400,27400,29000,29200,29200,31500,31900,33900,33900,33900,33900,33900,33900,33900,34300,35300,35300,35300,35300,35300,35300,35300,35300,35300,35300,35300,35300,35300,35300,38300,38300,38300,38300,38300,38300,38300,38300,38300,38300,38300,38300,38300,38300,38300,38300,38300,38300,38300,38300,38300,38300,38300,38300,38300,38300,38300,38300,40300,40300,40300,40300,40300,40300,42700,42700,42900,42900,42900,42900,42900,43200,43200,43200,43200,43200,43200,43200,43200,43200,43200,43200,43200,43200,43200,43200,43200,43200,43200,43200,43200,43200,43200,43200,43200,43200,43200,43200
25900,25900,25900,27700,31500,32900,32900,35300,35300,35300,35300,35300,35300,35300,35300,35300,35300,35300,35300,35300,35300,35300,35300,35300,35300,35300,35300,35300,35300,35300,35300,35300,35300,35300,35300,35300,35300,35300,35300,35300,35300,35300,35300,35300,35300,37400,37400,38100,38100,38100,38100,38100,38100,38100,38600,39500,39500,39500,41300,41300,41300,41300,41300,41300,41300,41300,41300,41300,41300,41300,41300,41300,41300,41300,41300,41300,41300,41300,41300,41300,41300,41300,41300,41300,41300,41300,41300,41300,41300,41300,41300,41300,41300,41300,41300,41300,41300,41300,41300,41300
20600,23200,24100,25700,27100,29400,30200,32100,35300,35300,37700,37700,37700,37700,41500,41500,41500,41500,41500,41500,41500,41500,41500,41500,41500,41500,41500,41500,41500,41500,41500,41500,41500,41500,41500,41500,41600,41600,41600,44100,45100,45100,45100,45100,45100,45100,45100,45100,45100,45100,45100,45100,45100,45100,45100,45100,45100,45100,45100,45100,45100,45100,45100,45100,45100,45100,45100,45100,45100,45100,45100,45100,45100,45100,45100,45100,45100,45100,45100,45100,45100,45100,45100,45100,45100,45100,45100,45100,45100,45100,45100,45100,45300,46000,46000,46000,46000,46000,46000,46000
21500,23300,24200,24200,26400,26400,28000,29000,29000,32400,32400,35400,35400,35400,35400,35400,35400,35400,35400,35400,35400,35400,35400,35400,35400,37400,37400,37400,37400,37400,37400,37400,37400,37400,37400,40000,40000,41700,42000,42000,42000,42000,42000,42000,42000,42000,42000,42200,42200,42200,42200,42200,42200,42200,42200,42200,42200,42900,43800,43800,45800,45800,45800,45800,45800,45800,45800,45800,45800,45800,45800,45800,45800,45800,45800,45800,45800,45800,45800,45800,45800,45800,45800,45800,45800,45800,45800,45800,45800,45800,45800,45800,45800,45800,45800,45800,45800,45800,45800,45800
20200,23400,24000,27200,27200,27200,27200,27200,27200,27200,27200,29500,29500,29500,29600,31500,32000,32000,32000,32000,32000,36000,36000,36000,36000,36000,36000,36000,36000,36000,38900,39800,39800,39800,39800,39800,39800,39800,39800,39800,39800,39800,39800,39800,39800,39800,39800,39800,39800,39800,39800,39800,39800,39800,39800,39800,39800,39800,39800,39800,39800,41500,41600,42000,45000,45000,45200,45200,45200,45200,45200,45200,45200,45200,45200,45200,45200,45200,45200,45200,45200,45200,45200,45200,45200,45200,45200,45200,45200,45200,45200,45200,45200,45200,45200,45200,45200,45200,45200,45200
