0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
21000,21000,25100,26500,26500,30900,30900,34100,34100,34100,36800,36800,36800,36800,36800,36800,37200,37200,37200,37200,37200,37200,37200,38200,38300,38300,39300,39300,39300,39300,39300,39300,39300,39300,39300,39500,39500,39500,39500,39500,39500,39500,39500,39500,39500,39500,39500,39500,39500,39500,39500,39500,39500,39500,39500,39500,39500,39500,39500,39500,39500,39500,39500,39500,39500,39500,39500,40100,40100,40100,40100,40100,40100,40200,41500,41500,41500,42000,42100,42100,42100,42300,42300,42300,42300,42300,42300,42300,42300,43300,43300,43300,43300,43300,43300,43300,43300,43300,43300,43300
25700,25700,27100,27100,28200,29900,32700,32700,33200,33200,33200,33200,33200,33200,33200,33200,33200,33200,33200,33200,33700,37200,37200,37200,37200,37200,37200,37200,37200,37200,37200,37200,37200,39200,39200,39200,39200,39200,39200,39200,39200,39200,39400,39400,39400,39400,39400,39400,39400,39400,39400,39500,41200,41200,41200,41200,41200,41400,42100,42100,42100,42100,42600,42600,42600,42600,42600,42600,42600,42600,42600,42600,42600,42600,42600,42600,42600,42600,42600,42600,42600,42600,42600,42600,42600,42600,42600,42600,42600,42600,42600,42800,42800,42800,42800,42800,42900,42900,42900,42900
21000,23200,23200,23700,24000,26600,27100,27100,30800,30800,30800,30800,30800,30800,32000,32000,32000,32400,32500,34300,34300,34300,35100,35100,35100,35100,35100,35100,35100,35800,35800,35800,35800,35800,35800,36000,36000,36000,36000,36000,36000,36000,36000,36000,36000,36000,36000,36000,36000,36000,36000,36000,36000,36900,36900,36900,36900,36900,36900,36900,36900,36900,36900,36900,36900,36900,36900,36900,36900,37500,37500,37500,37500,37500,37500,37500,38100,38100,38100,38100,38100,38100,38100,38100,38100,38200,38200,38200,38200,38200,38200,39200,39200,39200,39200,39200,39200,39200,39200,39200
23900,24300,25800,26500,26500,26800,28000,28400,28400,28400,28400,28400,28400,28400,29600,29600,29800,29800,29800,30700,31000,31000,31000,31000,31300,32900,32900,32900,33200,33200,33200,33200,33200,33200,33200,33200,33200,33200,33200,33200,33200,33200,33200,33200,33200,33200,33200,33200,33200,33200,33200,33200,33200,34000,34000,34000,34000,34000,34000,34000,34000,34000,34000,34000,35900,35900,35900,35900,35900,36100,37800,37800,37800,38900,38900,39400,39400,39400,39400,39400,39400,39400,39400,39400,39400,39400,39400,39400,39400,39400,39400,39400,39400,39400,39400,39400,39400,39400,39400,39400
27400,27400,27400,28600,29500,29500,30800,32900,32900,32900,32900,34500,34500,35000,35000,35000,35400,35400,35400,35400,35900,37400,37400,37400,37400,37500,37500,37500,37500,37500,37500,38800,38800,38800,38800,38800,38800,38800,38800,38800,38800,38800,38800,38800,38900,38900,38900,38900,38900,38900,38900,38900,38900,38900,38900,38900,38900,38900,38900,38900,38900,38900,38900,38900,38900,39000,39500,39500,39500,39500,39500,39500,39500,39500,39500,39500,39500,39500,39500,39500,39500,39500,40200,40200,40200,40200,40200,40200,41000,41000,41000,41000,41000,41000,41000,41000,41000,41000,41000,41000
23400,24600,24600,27500,27500,28600,30300,30300,30300,30300,31400,31400,31400,34000,34000,34000,34000,34800,35200,35200,35200,35200,35200,35200,35200,35200,35200,35200,35200,37500,37500,37800,37800,37800,37800,37800,37800,39700,39700,39700,39700,39700,39700,39700,39700,39700,39700,39700,39700,39700,40000,40000,40900,40900,40900,40900,40900,40900,41300,41300,41300,41300,41300,41300,41300,41300,41300,41300,41300,41300,41300,41300,41300,43300,43300,43300,43300,43300,43300,43300,43300,43300,43300,43300,43300,43300,43300,43300,43400,43400,43400,43400,43400,43400,43400,43400,43400,43400,43400,43400
23000,26700,34100,35100,35200,35200,35200,35200,35200,35200,35200,35200,35200,35300,35300,38900,38900,38900,39300,39300,39300,39300,40000,40000,40000,40000,40000,41200,41200,41200,41200,41200,41200,41200,41500,41500,41500,43400,43400,43400,43400,43400,44800,44800,44800,44800,44800,44800,44800,44800,44800,44800,44800,46200,46200,46200,46200,46200,46200,46200,46200,46200,46200,46200,46200,46200,46200,46200,46200,46200,46200,46300,46300,46300,46300,46300,46300,46300,46300,46300,46300,46300,46300,46300,46300,46300,46300,46300,46300,46300,46300,46300,46300,46900,48000,48000,48000,48000,48000,48000
26500,26500,27700,29000,29600,29600,29600,31100,31100,31600,31600,31600,31600,31600,31600,31600,31600,31600,31600,32700,32700,32700,32700,32700,32700,33600,33600,33600,33600,33600,35500,35500,35500,35500,35500,35500,35500,35500,35500,35500,36400,36400,36400,36400,36400,37300,37300,37300,37300,37300,37300,37300,37300,37300,37300,37300,37300,37300,37300,37300,38100,38100,38100,38400,38400,38400,38400,38400,38400,38400,38400,38400,38400,38900,38900,38900,38900,38900,38900,39000,39000,39000,39000,39000,39000,39000,39000,39000,39000,39000,39000,39000,39000,39000,39000,39000,39000,39000,39000,39000
20200,24800,24800,26100,26100,27100,30300,30300,32100,34400,34400,34400,34400,34400,38300,38300,38300,38300,38300,40300,40300,40300,40300,40300,40300,40300,42300,42300,42300,42400,42400,42400,42400,42400,42400,42400,42400,42400,42400,42400,42400,42400,42400,42400,42400,42400,42400,42400,42400,42400,42400,42400,42400,42400,42400,42400,42400,42400,42400,42400,42400,42400,42400,42400,42400,42400,42400,42400,43800,43800,43800,43800,43800,43800,43800,43800,43800,43800,43800,43800,43900,43900,43900,43900,43900,43900,43900,43900,43900,43900,44600,44600,44600,44600,44600,44600,44600,44600,44600,44600
22300,22300,22600,23000,23000,23000,26400,26400,26700,26700,26800,26800,28700,28700,29100,29100,29100,29100,30300,30900,30900,32100,32300,32300,32300,32300,32300,32300,32300,32300,32300,32600,33100,33100,33400,35300,35300,35600,38000,38300,38300,38300,38300,38300,38300,38300,38300,38500,38500,38500,38500,38500,38500,38500,38500,38500,38500,38500,38600,38600,38600,38600,38600,38600,38600,38600,38600,38600,38600,38600,38600,38600,38600,38600,38600,38600,38600,38600,38600,38600,38600,38600,38600,38600,38600,38600,38600,38600,40300,40300,40300,41200,41200,41200,41200,41200,45800,45800,45800,45800
