0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
24100,26000,26000,26000,26000,28400,30000,30000,30000,30000,30000,30000,33300,35200,35200,35800,35800,35800,39900,39900,39900,39900,39900,39900,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40200,40200,40200,40200,40200,42000,42000,42000,42000,42000,42200,42200,42200,42200,42200,42200,42200,42200,42200,42200,42200,42200,42200,42200,42200,42200,42200,42200,42200,42200,42200,42200,42200,42200,42200,42200,42200,42200,42200,42200,42200,42200,42200,42200,42200,42200,42200,42200,42200,42200,42200,42200,42200,42200,42200,42200,42200
23200,29900,29900,29900,29900,29900,29900,29900,31500,32400,32800,32800,32800,32800,32800,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35600,35600,35600,35600,35600,35600,36300,38000,38000,38000,38000,38000,38000,38000,38000,39000,39000,39000,39000,39000,39000,39000,39000,39000,39000,39000,39000,39000,39000,39000,39000,39000,39000,39000,39000,39000,39000,39000,39000,39000,39400,39800,39800,40200,40200,40200,40200,40200,40200,40200,42400,42400,42400,42400,42400,42400,42400,42400,42400,42400,42400,42400,42400
20700,24200,24200,24200,24800,26600,32100,32100,32100,32100,32100,32100,32100,32100,32100,32600,32600,32600,32600,32600,32600,32600,32600,32600,32600,32600,34000,34000,34000,34000,34000,34000,34000,34000,34900,35500,35500,35500,36200,36200,36200,36200,36700,36700,36700,36700,36700,38700,38700,38700,38700,38700,38700,38700,38700,38700,38700,38700,38700,38700,38700,38700,38700,38700,38700,38700,38700,38700,38700,38700,38700,38700,38700,38700,38700,38700,38700,38700,38700,38700,38700,38700,38700,38700,38700,38700,38700,38700,38700,38700,38700,38700,38700,38700,38700,38700,38700,38700,38700,38700
25300,25300,27600,27600,27900,28700,28700,33700,33700,33700,34000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,38300,38300,38300,38300,38300,38300,38300,38700,38700,38700,38700,40900,43200,43200,44900,44900,44900,44900,44900,44900,44900,44900,44900,44900,44900,44900,46800,46800,46800,46800,46800,47700,47700,47700,47700,47700,47800,47800,47800,47800,47800,47800,47800,47800,47800,47800,47800,47800,47800,47800,47800,47800,47800,47800,47800,47800,47800,47800,47800,47800,47800,47800,47800,47800,47800,47800,47800,47800,47800,47800,47800,47800,47800,47800
25800,25800,30300,30300,30300,30800,30800,30800,30800,30800,30800,30800,30800,30800,31900,33000,34000,35000,35000,36000,36000,36000,36000,36100,36100,36100,36100,36100,36100,36100,36100,36100,36100,36100,37200,37200,37200,37200,38900,38900,38900,38900,39000,39100,39100,40000,40000,40000,40000,40000,40000,40000,40100,40100,40100,40100,40100,40100,40100,40200,40200,40200,40200,40200,40200,40200,40200,40200,40200,40200,40200,40200,40200,40200,40200,40200,40200,40200,40200,40200,40200,40200,40200,40200,40200,40200,40200,40200,40200,40200,40200,40200,40200,40200,40200,40200,40200,40200,40200,40200
21900,22600,27100,27100,27100,27100,27100,27600,29200,29200,29200,29200,29200,29200,29200,29200,29200,29200,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30800,32400,32400,32400,32400,32400,32700,32900,32900,34500,37600,37600,37600,37600,37600,37600,37600,37700,38900,38900,39600,39600,39800,39800,39800,39800,39800,39800,39800,39800,39800,40100,40100,40100,40100,40100,40100,40100,40100,40100,40100,40100,40100,40100,40100,40100,40100,40100,40100,40100,40100,40100,40100,40100,40100,40100,40100,40100,40100,40100,40100,40100,40100,40100,40100,40100,40100,40100,40100
20100,20100,24400,24400,25700,25700,25700,34100,34100,34100,34100,34100,34100,34100,34100,34100,34100,34100,34100,34100,34100,34100,34100,34100,34100,34100,34100,34100,34100,34100,34100,34900,34900,34900,34900,34900,34900,34900,36700,36700,36700,36700,36700,36700,36700,36700,36700,36700,36700,36700,36700,36700,36700,36700,36700,36700,36700,36700,36700,36700,36700,36700,36700,36700,36700,36700,36700,36700,36700,36700,36700,36700,36700,36700,36700,36700,36700,36700,36700,36700,36700,36700,36700,36700,36700,36700,36700,36700,36700,36700,36700,36700,36700,36700,36700,36700,36700,36700,36700,36700
19100,23100,23100,26700,26700,28500,28500,28500,28500,28500,28500,30500,30500,30500,30500,30700,30700,30700,30700,30700,30700,30700,30700,30700,30700,31400,31400,33400,33400,33400,33400,33400,33400,33800,34800,34800,34800,34800,34800,34800,34800,34800,34800,34800,34800,34800,34800,34800,34800,34800,34800,34800,34800,34800,34800,34800,34800,34800,34800,34800,34800,34800,34800,34800,34800,34800,34800,34800,34800,34800,34800,34800,34800,34800,34800,34800,34800,34800,34800,34800,34800,34800,34800,34800,34800,34800,34800,34800,34800,34800,34800,34800,34800,34800,34800,34800,34800,34800,34800,34800
20800,21300,21300,21600,27800,27800,27800,27800,27900,29400,29400,29400,29400,29400,29400,29400,32300,32300,32300,33100,33100,34300,35100,35100,35900,36000,36000,36000,36000,36000,36700,36700,36700,36700,36700,36700,36700,36700,36700,36700,37400,37400,37400,37400,37400,37400,37400,37400,37400,38700,38800,38800,38800,38800,38800,38800,39700,39700,39700,39700,39700,39700,39700,40100,40100,40100,40100,40100,40200,40200,40200,40600,40600,40600,40600,40600,40600,40600,40600,40600,40600,40600,40600,40600,40600,40600,40600,40600,40600,40600,40600,40600,40600,40600,40600,40600,40600,40600,40600,40600
23400,23500,26900,26900,27200,27200,27900,28000,28000,28800,33300,33300,33300,33300,33600,33600,33600,33600,34900,34900,34900,36000,36000,36000,36000,36000,36000,36000,36000,36000,36700,36700,36700,36700,36700,36700,36700,37000,37000,37000,37000,37000,37000,37000,37000,37500,37500,37500,37500,37500,38000,38000,38000,38000,38000,38000,38000,38000,38000,38000,38000,39900,39900,39900,39900,39900,39900,39900,39900,39900,39900,39900,39900,39900,39900,39900,39900,39900,39900,39900,39900,39900,39900,39900,39900,39900,39900,39900,39900,39900,39900,39900,39900,39900,39900,39900,39900,39900,39900,39900
