0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
20500,20500,25900,25900,25900,27100,27100,31800,31800,31800,31800,32100,32100,32100,32100,32400,32400,32700,32700,32700,32700,34200,35900,35900,35900,35900,35900,36100,36100,37400,37400,37400,38000,38400,38400,40600,40600,40600,40600,41400,41400,41400,41400,42200,42200,42200,42200,42900,42900,43500,43500,43500,43500,43500,43500,43500,43500,43500,43500,43500,43500,43500,43500,43500,43500,43500,43500,43500,43500,43500,43500,43500,43500,43500,43500,43500,43500,43500,43500,44600,44600,44800,44800,44800,44800,44800,44800,45400,45400,45400,45400,47600,47600,47600,47600,47600,47600,47600,47600,47600
21500,26400,26400,26400,26400,26400,28700,29900,30500,30700,31600,31600,31600,31600,31600,31600,34600,34600,34600,34600,34600,35300,35700,35900,35900,36000,36000,36000,37900,37900,37900,38900,40200,40200,40200,41800,41800,41800,41800,41800,41800,41900,41900,41900,41900,41900,44300,44300,44300,44600,44600,45000,45000,45000,47000,47200,49200,49200,49300,49300,49300,50100,50100,50100,50100,50600,50600,50600,50600,50600,51000,51000,51000,51300,51400,51400,51400,53000,53000,53000,53000,53000,53000,53000,53000,53000,53000,53000,53000,53000,53000,53000,53000,53000,53000,53000,53000,53000,53000,53000
24600,24600,27700,27700,27700,29500,32100,32100,34400,34400,34400,34400,34400,34400,34400,34400,34800,34800,36500,36500,36500,36600,36600,37500,37500,37500,37700,37700,37700,37700,37700,39000,39000,39000,39100,39100,39100,39100,39100,40900,40900,41100,41100,41100,41100,41100,41100,41100,41100,41100,41100,41100,41100,41100,41100,41100,41100,41100,41100,41100,41100,41100,41100,41100,41100,41100,41100,41100,41100,41100,41100,41100,41100,41100,41100,41100,41100,41100,41100,41100,41100,41100,41100,41100,41100,41100,41100,41100,41600,41900,41900,41900,41900,41900,43200,43200,43200,43200,43200,43200
22700,22700,24500,25700,27800,27800,27800,27800,27800,28300,28300,28300,28300,28300,28400,28400,28400,32000,32000,32000,32000,32000,32000,32000,32000,33100,33100,33100,33100,34900,34900,36400,40700,40700,40700,42600,42600,42700,42900,42900,43500,43500,45600,46000,47400,47400,47400,47400,47400,47800,47800,47800,47800,47800,47800,47800,47800,47800,47800,47800,47800,47800,47800,47800,47800,47900,47900,47900,47900,47900,47900,47900,47900,47900,47900,47900,47900,47900,47900,47900,47900,47900,47900,47900,47900,47900,47900,47900,47900,49100,49100,49100,49100,49100,49100,49100,49100,49100,49100,49100
18700,19600,24600,26400,26400,28200,30400,30400,30400,31100,31100,31100,33000,33000,33000,33000,35600,36100,40900,40900,40900,42900,42900,42900,42900,42900,42900,43000,43000,43000,43000,43000,43000,43100,43100,43100,43100,44000,44000,48100,48100,48100,48100,48100,49100,49100,51900,51900,51900,51900,51900,51900,51900,51900,51900,52700,52700,52700,52700,52700,52700,52700,52700,52700,52700,52700,52700,52700,52700,52700,52700,52700,52700,52700,52700,52700,52700,52700,52700,52700,52700,52700,52700,52700,52700,52700,52700,52700,52700,52700,52700,52700,52700,52700,52700,52700,52700,52700,52700,54000
20400,24600,24900,26000,26500,30100,30100,30100,30100,30100,30100,32200,32700,34300,34300,34300,34500,34500,36100,36100,36100,36100,36100,36100,36300,37700,37700,38300,38300,38500,38500,40100,40100,40100,40100,40100,40300,40300,41400,41400,41400,41400,41400,41400,41400,41400,41400,41400,42700,42700,42800,42800,42800,42800,42800,42800,42800,42800,42800,42800,42800,42800,42800,42800,42800,42800,42800,42800,42800,43500,43500,43500,43500,43500,43500,43500,43500,43500,43500,43500,43500,43500,43500,43500,43500,43500,43500,43500,43500,43500,43500,43500,43500,43500,43500,43500,43500,43500,43500,43500
23200,23200,25100,25800,26300,26300,31200,31200,33700,33700,33700,34700,34700,34700,34700,34700,34700,34700,34800,36000,36900,36900,36900,38000,38000,38300,38300,39600,39600,39600,39600,40800,41000,41500,43200,43200,43200,45300,45300,46200,46200,46200,46200,46200,46600,46600,46600,46600,46600,46600,46600,46600,46600,46600,46600,46600,46600,46600,46600,46600,46600,48000,48000,48000,48000,48000,48000,48000,48000,48000,48000,48000,48000,48000,48000,48000,48000,48000,48000,48000,48000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000
22900,22900,25300,28900,28900,29300,31100,31100,32000,33300,33300,33300,34400,35200,36200,36300,37400,37400,37500,39500,39500,39500,39500,40100,40100,40100,40100,41400,41400,41400,41400,41400,41400,42700,42700,43500,44100,46500,46800,46800,46800,46800,46800,46800,46800,46800,46800,46800,46800,46800,46800,46800,46800,46800,46800,46800,46800,46800,46800,46800,46800,46800,46800,46800,46800,46800,46800,46800,46800,47300,47300,47300,47300,47300,47300,47300,47300,47800,47800,47800,47800,47800,47800,47800,47800,47800,47800,47800,47800,47800,47800,47800,47800,47800,47800,47800,47800,47800,47800,47800
23700,27300,27700,27700,27700,31600,31600,31600,31600,31600,33000,33000,36100,39300,39300,39300,39300,39700,39700,39700,39700,40300,40300,41000,41000,41300,41300,41300,41400,42100,42100,42100,42600,42600,42600,42600,42600,42600,42600,42600,42700,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,43400,43400,43400,43400,43400,43400,43400,43400,43400,43400,43500,43500,43500,43500,43500,43500,43500,43500,43500,46000
22100,24500,24500,25500,26700,30300,30300,30300,36500,37900,37900,37900,37900,37900,37900,41200,41200,41200,41200,41200,41200,41200,41200,41200,41300,41300,43800,43800,43800,43800,43800,44300,44300,44300,44300,44300,44300,44300,44300,44300,44300,44300,44300,44300,44300,44300,44300,44300,44300,44300,44300,44300,44300,44300,44300,44300,44300,44300,44300,44300,44300,44300,44300,44300,44300,44300,45400,45400,45400,45400,45400,45400,45400,45400,45400,45400,45400,45400,45400,46300,46300,46300,46300,46300,46300,46300,46300,46300,46300,46300,48000,48000,48000,48000,48000,48000,48000,48000,48000,48000
