0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
24500,26400,34300,34300,34300,34300,34300,34300,34300,34300,34300,34300,34300,34300,34300,34300,34300,34300,34300,35300,36300,36300,36300,36300,36300,36300,36300,36300,36300,36300,37200,37200,37200,37200,37200,37200,37200,37200,37200,37200,37200,37200,37200,37500,37500,37500,37500,37500,37700,37700,37700,37700,37700,37700,37700,37700,37700,37700,37700,37700,37700,37700,37700,37700,37700,37700,37700,37700,37700,39400,39400,39400,39400,39400,39400,39400,39400,39400,39400,39400,39400,39400,39400,39400,39400,39400,39400,39400,39400,39400,39400,39400,39400,39400,39400,39400,39400,39400,39400,39400
23500,23500,25200,25200,25200,25200,25200,25200,25200,25200,25300,25300,25300,25300,25300,33400,33400,33400,33800,33800,33800,33800,33800,33800,33800,33800,33800,33800,33800,33800,35300,35300,35300,35300,35300,35300,35300,35300,35300,35300,35300,35300,35300,35300,36400,36400,36400,36400,36400,36400,36400,36400,36400,36400,36400,36400,36400,36400,36400,36400,36400,36400,36400,36400,36400,36400,36400,36400,36400,36400,36400,36400,36500,36500,36500,36500,36500,36500,36500,36500,36500,36500,36500,36500,36500,36500,36500,36500,36500,36500,36500,36500,36500,36500,36500,36500,36500,36500,36500,36500
23900,23900,23900,23900,24500,24500,25900,28000,28000,28000,28000,28000,28700,28700,28700,28700,28700,28800,28800,28800,28800,30900,30900,30900,30900,30900,30900,36600,36600,36600,36600,36600,36600,37100,37100,37100,37100,37100,37100,37100,37100,37100,37100,37100,37100,37100,37100,37100,37100,37100,37100,37100,37100,37100,37100,37100,37100,37100,37100,37100,37100,37100,37100,37100,37100,37400,37400,37400,37400,37400,37400,37400,37400,37400,37400,37400,37400,37400,37400,37400,37400,37400,37400,37400,37400,37400,37400,37400,37400,37400,37400,37400,37400,37400,37400,37400,37400,37400,37400,37400
19900,23500,23500,23500,23500,23500,23500,27600,27600,27600,28200,28200,28200,28200,28200,30300,30300,30300,30300,30300,30300,30300,32400,32400,32400,32400,32400,32400,32400,32400,32400,32400,32400,32400,32400,32400,32400,32400,32400,32400,33700,33700,40100,40100,40100,40100,40100,40100,40100,40100,40100,40100,40100,40100,40100,40100,40100,40100,40100,40100,40100,40100,40100,40100,40100,40100,40100,40100,40100,40100,40100,40100,40100,40100,40100,40100,40100,40100,40100,40100,40100,40100,40100,40100,40100,40100,40100,40100,40100,40100,40100,40100,40100,40100,40100,40100,40100,40100,40100,40100
22600,22600,23400,23700,23800,25500,26000,26000,26000,26000,28400,28400,28400,28400,28400,28400,28400,28400,28400,28400,28400,28400,28400,28400,28600,28600,28600,28600,28600,28600,28600,30300,30300,30300,34600,34600,34600,34600,34600,34600,34600,34800,34800,34800,34800,34900,34900,34900,34900,34900,34900,34900,34900,34900,34900,35300,35300,35400,35400,35400,35400,35400,35400,35400,35600,35600,35600,35600,35600,35600,35600,35600,35600,35600,35600,35600,35600,35600,35600,36800,36800,36800,39200,39200,39200,39200,39200,39200,39200,39200,39200,39200,39200,39200,39200,39200,39200,39200,39200,39200
20500,21100,21900,24300,24300,28000,28000,28000,28000,28000,28000,28900,29700,32000,32300,32300,32300,32300,32300,32300,32300,32500,32500,32500,32500,32500,32500,34100,34100,34100,34100,34100,34100,35600,35600,35600,35600,35600,35600,35600,35600,35600,35600,35600,35600,35900,36000,36000,36000,36000,36800,36800,36800,36800,36800,36800,36800,36800,36800,36800,36800,36800,37400,37400,37400,38200,38200,38200,38200,38200,38200,38200,38200,38200,38200,38200,38200,38200,38200,38200,38200,38200,38200,38200,38200,38200,38200,38200,38200,38200,38200,38200,38200,38200,38200,38200,38200,38200,38200,38200
23400,23400,23400,24600,24600,24600,24600,24600,24800,24800,28500,28500,30400,30400,30400,30400,30400,30400,30400,30400,31000,31000,33400,33400,33400,33400,33400,33400,33400,34300,34300,34300,34300,34300,34300,34300,34300,34300,34300,34900,34900,34900,34900,34900,34900,34900,34900,34900,34900,34900,34900,34900,34900,34900,34900,34900,34900,34900,34900,34900,34900,34900,35800,35800,35800,35800,35800,35800,35800,35800,35800,35800,35800,35800,35800,35800,35800,35800,35800,35800,35800,35800,35800,35800,35800,35800,35800,35800,35800,35800,35800,35800,35800,35800,35800,35800,37300,37300,37300,37300
21100,21300,23400,23400,23400,26000,27500,27500,27500,27500,27500,27500,27500,27800,27800,27800,27800,27800,27800,27800,27800,27800,27800,29300,29300,29500,29500,29500,30600,31800,32000,33400,33400,33400,33400,33400,33400,33400,33400,33400,33400,33400,33400,33400,33400,33400,33400,33400,33400,33400,33400,33400,33400,33400,33400,33400,33400,33400,33400,33400,33400,33400,33400,33400,33400,33400,35800,35800,35800,35800,35800,35800,35800,35800,35800,35800,35800,35800,35800,35800,35800,35800,35800,35800,35800,35800,35800,35800,35800,35800,35800,35800,35800,35800,35800,35800,35800,35800,35900,35900
27600,30600,30600,30600,30600,30600,30600,30600,30600,30600,30600,30600,30600,30600,30600,30600,30600,30600,30600,30600,30600,30600,30600,30600,30600,30600,30600,30600,30600,30600,30600,30600,30600,32400,32400,32400,32400,32400,32400,32400,32400,32400,32700,32700,32700,32700,32700,32700,32700,32700,32700,32700,34100,34100,34100,34100,35100,35100,35100,36700,36700,36700,36700,36700,36700,36700,36700,36700,36700,36700,36700,38800,38800,38800,41500,41500,41500,41500,41500,41500,41500,41500,41500,41500,41500,41500,41500,41500,41500,41500,41500,41500,41500,41500,41500,41500,41500,41500,41500,41500
19400,21800,28200,28200,28200,28200,28200,28200,28200,28200,28200,28200,28200,30400,34300,34300,34300,34300,34300,34300,34300,34300,34300,34300,34300,34300,34300,34300,34300,34300,37000,37000,37000,37000,38400,38400,38400,38400,38400,39600,39600,39600,39600,39600,39600,39600,39600,39600,39600,39600,39600,39600,39600,39600,39600,39600,39600,39600,39600,39600,39600,39600,39600,39600,39600,39600,39600,39600,39600,39600,39600,39600,39600,39600,39600,39600,39600,39600,39600,39600,39600,39600,39600,39600,39600,39600,39600,39600,39600,39600,42700,42700,42700,42700,42700,42700,42700,42700,42700,42700
