0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
24000,25500,26800,27700,34600,34600,34800,35300,35300,36700,37200,37200,39100,39100,41100,41100,41100,41300,41500,41500,41500,41500,41500,41500,41500,42400,42400,42600,42600,42600,42600,42600,42600,42600,42600,42600,42600,42600,42600,42600,42600,42600,42600,42600,42600,42600,42600,42600,42600,42600,42600,42600,42600,42600,42600,42600,42600,42600,42600,42600,42600,42600,42600,42600,42600,42600,42600,42600,42600,42600,42600,42600,42600,42600,42600,42600,42600,42600,42600,42600,42600,42600,42600,42600,42600,42600,42600,42600,42600,42600,42600,42600,42600,42600,42600,42600,42600,42600,42600,42600
23900,23900,25000,25100,26600,26600,30000,30800,34100,34700,38200,38200,38800,39700,42000,42400,43900,43900,44300,44300,45900,45900,46100,47300,48800,48800,48800,48800,48800,48800,48800,48800,48800,48800,48800,48800,48800,48800,48800,48800,48800,48800,48800,48800,48800,48800,48800,50200,50200,50200,50700,50800,50800,50800,50800,50800,50800,50800,50800,50800,50800,50800,50800,50800,50800,50800,50800,50800,50800,50800,50800,50800,50800,50800,50800,50800,50800,50800,50800,50800,50800,50800,50800,50800,50800,50800,50800,50800,50800,50800,50800,50800,50800,50800,50800,50800,50800,50800,50800,50800
26500,30300,30300,34800,34800,35100,35400,35400,35700,36300,36300,36400,39400,40300,40300,40300,40300,40300,40300,40300,40300,40300,40700,43200,44000,44000,44100,44100,45600,45600,47300,47300,47300,47300,47300,47300,47300,47300,47300,47300,47300,47300,47300,47300,47300,47300,47300,47300,47300,47300,47300,47300,47300,47300,47300,47300,47300,47300,47300,47300,47300,47300,47300,47300,47300,47300,47300,47300,47300,47300,47300,47300,47300,47300,47300,47300,47300,47300,47300,47300,47300,47300,47300,47300,47300,47300,47300,47300,47300,47300,47300,47300,47300,47300,47300,47300,47300,47300,47300,47300
22700,22700,26000,26700,27400,27800,30500,34600,34600,35300,35500,38800,38800,38800,41500,41500,41500,41500,41700,41700,41700,41700,41700,41700,41700,41700,41700,41700,41700,41700,41700,41700,41700,41700,41700,41700,41700,41700,41700,41700,41700,41700,41700,41700,41700,41700,41700,41700,41700,41700,41700,41700,41700,41700,41700,41700,41700,41700,41700,41700,41700,41700,41700,41700,41700,41700,41700,41700,41700,41700,41700,41700,41700,41700,41700,41700,41700,41700,41700,41700,41700,41700,41700,41700,42400,42400,42400,42400,42400,43900,43900,43900,44800,44800,44800,44800,44800,44800,44800,44800
22900,25400,28000,28000,28500,28500,29000,32100,32100,32500,32500,32700,35700,36000,37000,37000,37600,37600,38900,38900,38900,39100,39100,39100,39100,39100,39100,39100,39100,39100,39100,39100,39100,39100,39100,39100,39100,39100,39100,39100,39100,39100,39100,39100,39100,39100,39100,39100,39100,39100,39100,39100,39100,39100,39100,39100,39100,39900,39900,39900,40100,40400,41800,41800,42100,42100,42100,42100,42100,42100,42100,42100,42100,42100,42100,42100,42100,42100,42100,42100,42100,42100,42100,42100,42100,42100,42100,42100,42100,42100,43500,43500,43500,45800,45800,45800,46100,46100,47900,47900
23600,25800,25900,30900,30900,35100,35100,35600,35600,35600,35600,36800,36800,36800,36800,37800,37800,37800,37800,41000,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900
25900,25900,26400,30200,30200,30200,30600,30600,33000,33000,34100,34900,37100,37100,37300,37300,37300,37300,37300,37300,37300,37300,37300,37300,37300,37300,37300,37300,38000,38000,41000,41000,41000,41000,41100,41100,41300,41300,41300,41300,41300,41300,41300,41300,41300,41300,41300,41300,41300,41300,41300,41300,41300,41300,41300,41300,41300,41300,41300,41300,41500,41500,41500,41500,41500,41500,42000,42000,42000,42700,42700,42700,42700,42700,42700,42700,42700,42700,42700,42700,42700,42700,42700,42700,42700,42700,42700,42700,42700,42700,42700,42700,42700,42700,42700,42700,42700,42700,42700,42700
23500,23500,30900,30900,31800,31800,31800,33200,34700,34800,37100,37100,37100,37100,37100,37100,37100,37100,37100,37100,37100,37100,38300,38300,38300,38300,38300,38300,38300,38300,38600,38600,38600,38600,38600,38600,38600,38600,38600,38600,38600,38600,38600,38600,38600,38600,38600,38600,38600,38600,38600,38600,38600,38600,38600,38600,38600,38600,38600,38600,38600,38600,38600,38600,38600,38600,38600,38600,38600,38600,38600,38600,38600,38600,38600,38600,38600,38600,38600,38600,38700,38700,38700,39600,39600,39600,39600,41100,41100,41100,41100,41100,41100,41100,41100,41100,41100,41100,41100,41100
25300,28400,29200,34300,34300,34300,34600,36800,36800,37000,37100,37100,37100,38000,38000,38500,38500,38500,38500,38500,38500,38500,38500,38500,38500,38500,38500,38500,38500,38500,38500,38500,38500,38500,38500,38500,38500,38500,38500,38500,38500,38500,38500,38500,38500,38500,38500,38500,38500,38500,38500,38500,38500,38500,38500,38500,38500,38500,38500,38500,38500,38500,40000,40000,40000,40000,40500,41500,41800,41800,41800,43500,43500,43500,43600,43600,43600,43600,43600,43600,43600,43600,43600,43600,43600,43600,43600,43600,43600,43600,43600,43600,44400,44400,44400,44400,44400,46000,46000,46000
23000,25100,29500,29500,29500,30300,31000,32700,32700,37800,37800,37800,37800,37800,37900,37900,37900,37900,37900,37900,37900,37900,37900,37900,37900,37900,37900,37900,37900,37900,37900,37900,37900,37900,37900,37900,37900,37900,37900,37900,37900,39600,39600,39600,39600,40500,41500,41500,41500,41500,41500,41500,41500,41500,41500,41500,41500,41600,41600,41600,41600,41600,41600,41600,41600,41600,41600,41600,41600,41600,41600,41600,41600,41600,41600,41600,41600,41600,41600,41600,41600,41600,41600,41600,41600,41600,41600,41600,41600,41600,41600,41600,41600,41600,41600,41600,41600,41600,41600,41600
