0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
23500,32100,32300,32400,33900,34400,35700,36600,37500,37500,38100,39000,39000,40100,42100,42100,42800,44300,44300,44300,44300,44300,44300,44300,44300,44300,44400,44400,44400,44400,44400,45200,45200,45200,45200,45200,45200,45200,45200,45200,45200,45200,45200,45200,45200,45200,45200,45200,45200,45200,45200,45200,45200,45200,45200,45200,45200,45200,45200,45700,45700,45700,45900,45900,46400,46400,47000,48000,48600,48600,48600,48600,48600,48600,48600,48600,48600,48600,48600,48600,48600,48600,48600,48600,48600,48600,48600,48600,48600,48600,48600,48600,48600,48600,48600,48600,48600,48600,48600,48600
23400,23400,24300,25300,29300,29300,29300,29300,29300,29300,29400,29400,29400,29400,29400,31800,31800,33300,33300,33300,33300,33300,33900,33900,37200,37200,38000,38200,38200,38200,38200,38200,38200,38200,38200,38200,38200,38200,38200,38300,38300,38300,38300,40500,40500,40500,40500,40500,40500,40500,40500,40500,40500,40600,40600,40600,40600,40600,40600,40600,40600,40600,40600,40600,40800,40800,40800,40800,40800,40800,41900,41900,41900,41900,41900,41900,41900,41900,41900,41900,41900,41900,41900,41900,41900,41900,41900,41900,41900,41900,41900,41900,41900,41900,41900,41900,41900,41900,41900,41900
23700,23700,25700,28400,30100,30400,30400,31400,31800,32300,33500,35500,37000,39200,39200,40300,40300,41500,41500,41500,41500,43600,43600,43600,43600,43600,43600,43600,43600,43600,43600,47800,47800,47800,47800,47800,47800,47800,48800,48800,48800,48800,48900,48900,48900,48900,48900,48900,48900,48900,48900,48900,48900,48900,48900,48900,49000,49000,49000,49000,49000,49000,49000,49000,49000,49000,49000,49000,49000,49000,49000,49000,49000,49000,49000,49000,49000,49000,49000,49000,49600,49600,49600,49600,49600,49600,49600,49600,49600,49600,49600,49600,49600,49600,49600,49600,49600,49600,49600,49600
29500,29500,29500,29500,30500,31800,34200,34200,36100,36100,36200,36200,36200,36200,36200,36200,36200,36200,36200,36200,36200,36200,36200,36200,36200,36400,38000,38300,38300,39300,39300,40300,40300,40300,40300,40300,40300,40300,40300,40300,40300,40300,40300,40300,40400,40400,40400,40400,40400,40400,40400,40400,40400,40700,40700,41700,41700,41700,41700,41700,41700,41700,41700,42700,42700,42700,42700,42700,42700,42700,42700,42700,42700,42700,42700,42700,42700,42800,42800,42800,42800,42800,42800,42800,42800,42800,42800,42800,42800,42800,42800,42800,42800,42800,42800,42800,42800,42800,42800,42800
22500,25300,25500,29500,29500,31400,32800,34200,36200,36300,36500,36900,36900,37800,38300,38900,41100,42400,42400,42400,42400,42400,42400,42400,42600,42600,42600,42600,42600,42600,42600,42600,42600,43900,43900,45100,45100,45100,45100,45100,45100,45100,46100,46100,46100,46100,46100,46100,46100,46100,46100,47400,47400,47400,47400,47400,47400,47400,47400,47400,47400,47400,47400,47400,47400,47400,47400,47400,47400,47400,47400,48000,48000,48000,48000,48000,48000,48000,48000,48000,48000,48000,48000,48100,48100,48100,48100,48100,48100,48100,48100,48100,48100,48100,48100,48100,48100,48100,48100,48100
22300,22800,25900,25900,30000,32400,34600,34600,34600,34600,34600,34600,36200,36200,36200,36300,36300,36300,36300,36300,36300,36300,36300,36300,36300,36300,38300,38300,39900,39900,39900,39900,39900,40000,42200,42200,43000,43000,43000,44100,44100,44100,44100,44100,44100,44400,44400,44400,44400,44400,44400,44400,44400,44400,44400,44400,44400,44400,44400,44400,44400,44400,44400,44400,44400,44400,44400,44400,44400,44400,44400,44400,44400,44400,44400,44400,44400,44400,44400,46200,46200,46200,46200,46200,46200,46200,46200,46400,46400,46400,46400,47400,47400,47400,47400,47400,47400,47400,47400,47400
23700,25100,28700,28700,32100,33200,33900,33900,34500,35000,37800,37800,38800,38800,38800,38900,38900,38900,38900,38900,39200,39200,39200,39200,39200,39200,39200,39200,39200,39200,39200,39200,39300,39300,39300,39400,39400,39400,39400,39400,39400,39400,39700,39700,39700,39700,39700,39700,39700,39700,39700,39700,39700,39700,39700,39700,39700,39800,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,41400,41400,41400,41400,41400,41400,41400,41400,41400,41400,41400,41400,41500,41500,41500,41500,41500,41500,41500,41500,41500,41500,41500,41500,41500
22200,25000,29100,29100,33800,33800,36400,37200,38800,38800,38800,39600,40400,40400,42000,42000,42000,42000,42000,42000,42000,42000,43000,43000,43000,43000,44100,44100,44100,44300,44300,44400,44400,44400,44400,44400,44400,44400,44400,44400,44400,44400,44400,44400,44400,44400,44400,44400,44400,44400,44400,44400,44400,44400,44400,44400,44400,44400,44400,44400,44400,44400,44500,44500,44500,45800,45800,45800,45800,45800,45800,45800,45800,45800,45800,45800,45800,45800,45800,45800,45800,45800,45800,45800,45800,45800,45800,45800,45800,45800,45800,45800,45800,45800,45800,45800,45800,45800,45800,45800
21300,23300,29900,30500,31000,33400,33400,33400,35300,35300,36600,36600,38300,40000,40000,40000,40000,41100,41800,41800,41800,41800,41800,41800,42000,42000,42900,42900,43100,43100,43100,43200,43200,43200,43200,43200,43200,43200,43200,43200,43200,43200,43200,43200,43300,43300,43300,43300,43300,43300,43300,43300,43800,43800,43800,44100,44100,44100,44100,44100,44100,44100,44100,44100,44100,45400,45400,45400,45400,45400,45400,45400,45400,45400,45400,45400,45400,45400,45400,45400,45500,45500,45500,45500,45500,45500,45500,45500,45500,45500,46900,46900,46900,46900,46900,46900,46900,46900,46900,46900
24600,25600,25600,29200,29200,30400,31400,33400,33400,34000,36900,36900,37300,37300,39400,39400,39400,39400,39600,39600,39600,40900,40900,40900,41000,41000,41000,41000,41000,41000,41200,41200,41200,41400,41400,41400,41400,41400,41400,41400,41400,41400,45400,45400,45400,45400,45400,45400,45400,45400,45400,45400,45400,45400,45400,45400,45400,45400,45400,45400,45400,45400,45400,46700,46700,46700,46700,46700,46700,46700,46700,46700,46700,46700,46700,46700,47500,47500,47500,47500,47500,47500,47500,47500,47500,47500,47500,47500,47500,47500,47500,47500,47500,47500,47500,47500,47500,47500,47500,47500
