0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
23200,24100,24100,24100,24100,27500,27500,27500,27500,27500,27500,27500,27500,27500,28600,28600,28600,28600,28600,28600,28600,28600,28600,28600,28600,28600,28600,28600,28600,28600,28600,28600,28600,28600,28900,28900,28900,28900,28900,28900,28900,28900,28900,28900,28900,28900,28900,29200,29200,29200,29200,29200,29200,29200,29200,29200,29200,29200,29200,29200,29200,29200,29200,29200,29200,29200,30800,30800,30800,30800,30800,30800,30800,30800,30800,30800,30800,30800,30800,30800,30800,30800,30800,31300,31300,31300,31300,32000,32000,32000,32100,32100,32100,32100,32100,32300,32300,32300,32700,32700
20200,20200,20200,20200,22000,22000,22000,22000,23500,23500,24400,24400,24400,24600,24600,24600,24600,24600,24600,24600,24600,24600,24600,24600,24600,24600,25400,25400,27300,27300,27300,27300,27300,27300,27300,28300,28300,28300,28300,28400,28400,28400,28400,28400,28500,28500,28500,28500,28500,28500,28500,28500,28500,31300,31300,31300,31300,31300,31300,31300,31300,31300,31300,31300,31300,31300,31300,31300,31300,31300,31300,31300,31300,31300,31300,31300,31300,31300,31300,32600,32600,32600,32600,32600,32600,32600,32600,32600,32600,32600,32600,32600,32600,32600,32600,32600,32600,32600,32600,32600
21900,21900,27200,27200,28200,28200,28200,28200,28200,28200,28200,28200,28200,28200,28200,28200,28200,28400,28400,28400,28400,28400,28400,28400,28400,28400,28400,28400,28400,28400,28400,28400,28400,28400,28400,28400,28400,28400,28400,28400,28400,28400,28400,28400,28400,28400,28400,28400,28400,28400,28400,28400,28400,28400,28400,28400,28400,28400,29200,29200,29500,29600,31600,31700,31700,31700,31700,31700,31700,33100,33100,33100,33100,33100,33100,33100,33100,33100,33100,33100,33100,33100,33100,33100,33100,33100,33100,33100,33100,33100,33100,33100,33100,33100,33100,33100,33100,33100,33100,33100
21800,21800,21800,21800,26500,26500,26500,26500,26500,26500,26500,26500,26500,26500,29100,29100,29100,29500,29500,29500,29500,29500,29500,29500,29500,29500,29500,29500,29500,29500,29500,29500,29500,29500,29500,29500,29500,29500,29500,29500,32100,32100,32100,32100,32100,32100,32100,32100,32100,32200,32200,32300,32300,32300,32300,32300,34600,34600,34600,34700,35000,35000,35000,35000,35000,35000,35000,35000,35300,35300,35300,35300,35300,35300,35300,35300,35300,35300,35300,35300,35300,35300,35300,35300,35300,35300,35300,35300,35300,35300,35300,35300,35300,35300,35300,35300,35300,36100,36100,36100
21300,21800,24800,24800,24800,24800,24800,24800,28500,28500,28500,29500,29500,29500,29500,29500,29500,29500,29500,29500,29500,29500,31600,31600,31600,31600,31600,31600,31600,31600,31600,31600,31600,34300,34300,34300,34300,34300,34300,34300,34300,34300,34300,34300,34300,34300,34300,34300,34300,34300,34300,34300,34300,34300,34300,34300,34300,34300,34300,34300,34300,34300,34300,34300,35600,35600,35600,35600,35600,35600,35600,37700,37700,37700,37700,41000,41000,41000,41000,41000,41000,41000,41000,41100,41100,41100,41100,41100,41100,41100,41100,41100,41100,41100,41100,41100,41100,41100,41100,41100
21300,24000,24000,25600,25600,25600,25600,26500,26500,26500,27900,27900,27900,27900,27900,27900,27900,27900,27900,27900,27900,27900,27900,27900,27900,27900,27900,27900,27900,27900,27900,27900,27900,27900,27900,27900,27900,27900,27900,27900,27900,27900,27900,27900,27900,27900,27900,27900,27900,27900,27900,27900,27900,27900,27900,27900,27900,27900,27900,27900,27900,27900,27900,27900,27900,27900,27900,27900,27900,27900,27900,27900,27900,27900,27900,27900,27900,27900,27900,27900,29600,29600,29600,29600,29600,29600,29600,29600,29600,29600,29600,29600,29600,29600,29600,29600,29600,29600,29600,29600
21800,23400,23400,24900,24900,24900,24900,29500,29500,29800,29800,29800,29800,29800,30400,30400,32100,32100,32100,32100,32100,32100,32100,32100,32100,32100,32100,32100,32300,32300,33200,33200,33200,33200,33200,33200,33200,33200,33200,33200,33200,33200,33200,33200,33200,33200,34500,34500,34500,34600,34600,34600,34600,34600,35800,35800,35800,35800,35800,35800,36700,36700,36700,36700,36900,36900,36900,36900,36900,36900,36900,36900,36900,36900,36900,36900,36900,36900,36900,36900,36900,36900,36900,36900,36900,36900,36900,36900,36900,36900,36900,36900,36900,36900,36900,36900,37900,37900,37900,37900
19800,19800,19800,19800,19800,19800,19800,20100,20100,20100,20100,20100,22300,22300,22300,22300,24700,24700,24700,24700,24700,24700,24700,26300,26300,26900,26900,26900,29100,29100,29100,29100,29100,29100,29100,29100,29100,29100,29100,29100,29100,29100,31300,31300,31300,31300,31300,31300,31300,31300,31300,31300,31300,31300,31300,31400,31400,31400,31400,31400,34700,34700,34700,34700,34700,34700,34700,34700,34700,34700,34700,34700,34700,34700,34700,34700,34700,34700,34700,34700,34700,34700,34700,34700,34700,34700,34700,34900,34900,34900,34900,34900,34900,34900,34900,34900,34900,34900,34900,34900
21000,21000,21000,21000,22500,24600,24600,24600,24800,24800,24800,26300,26300,28900,28900,28900,28900,28900,28900,28900,28900,28900,28900,28900,28900,28900,29700,29700,29700,29700,29700,29700,29700,29700,29700,29700,29700,29700,29700,29700,29700,29800,29800,29800,29800,29800,29800,29800,29800,29800,29800,29800,29800,29800,29800,29800,29800,29800,30500,30500,30500,30500,30500,30500,31200,31200,31200,31200,31200,31200,31200,31200,31200,31200,31200,31200,31200,31200,32300,32300,32300,32300,32300,32300,32300,32300,32300,32300,32300,33000,33000,33000,33000,33000,33000,33000,33000,33000,33000,33000
21800,22100,22100,22100,22100,24100,26300,26300,26300,26300,26300,27800,27800,28100,28100,28100,28100,28100,28100,28100,28100,28100,28100,28100,30000,30600,30600,30600,30600,30600,30600,30600,30600,30600,30600,30600,30600,30600,30600,30600,30600,30600,30600,30600,30600,30600,30600,30600,30600,30600,30600,30600,30600,30600,30600,31200,31400,31400,31400,31400,31400,31400,31400,31400,31400,31400,31400,31400,31400,31400,31400,31400,31400,31400,31400,31400,31400,31400,31400,31400,31400,31400,31400,31400,31400,31400,31400,31400,31400,31400,31400,31400,31400,31400,31400,31400,31400,31400,31400,31400
