0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
21800,21800,21800,21800,21800,23900,26600,26600,28000,28700,28700,28700,28700,29000,29000,30200,30800,30800,31800,31800,31900,32300,35000,37300,37300,37300,37600,37600,39700,41300,42500,42500,43000,43000,43000,43000,43000,43000,43000,43000,43000,43000,43000,43000,43000,43000,43000,43000,43000,43000,43000,43000,43000,43000,43000,43000,43000,43000,43000,43000,43000,43700,46300,46300,46300,46300,46300,46500,46500,46500,46500,46500,46500,46500,46500,46500,46500,46500,46500,46500,46500,46500,46500,46500,46500,46500,46500,46500,46500,46500,46500,46500,46500,46500,46500,46500,46500,46500,46500,46500
19600,21900,28300,28300,28300,28300,28300,28600,30100,30200,32100,32100,36100,36100,36100,36200,36500,37000,38400,38400,40900,41700,42400,42400,42400,42600,42600,42600,42600,42600,42600,42600,42600,42600,42600,42600,42600,42600,42600,42600,42600,42600,42600,42600,42600,42600,42600,42600,42600,42600,42600,42600,42600,42600,42600,42600,42600,42600,42600,42600,42600,43000,43000,43000,43900,45700,45700,45700,45700,45700,45700,45700,45700,45700,45700,45700,45700,45700,45700,45700,45700,45700,45700,45700,45700,45700,45700,45700,45700,45700,45700,45700,45700,45700,45700,45700,45700,45700,45700,45700
24000,24000,26500,26500,26500,26500,28600,28600,29800,29800,29800,29800,29800,31400,31400,32500,32500,34000,34600,34600,34600,35900,36700,36800,36900,38600,38600,38600,39100,39100,39300,40000,40000,40200,40200,40200,40200,40200,40200,40200,40200,40200,40200,40200,40200,40200,40200,40200,40200,40200,40200,40200,40200,40200,40200,40200,40200,40200,40200,40200,40200,40200,40200,40200,40200,40200,40200,40200,40200,40200,40200,40200,40200,40200,40200,40200,40200,40200,40200,40200,40200,40200,41600,41600,44100,44100,44100,44100,44100,44100,44100,44100,44100,44100,44100,44100,44100,44100,44100,44100
23400,23500,28400,28400,28400,28500,30500,30500,30500,32400,32400,33000,33300,33500,33900,33900,33900,34400,34400,35500,35700,35700,35700,35700,35700,35700,36400,36400,37800,37800,37800,37800,37800,37800,37800,37800,39000,39000,39000,39000,39000,39000,39000,39000,39000,40200,40200,40200,40200,40400,40400,41700,42400,42400,43900,43900,44300,44300,44300,44400,44400,44400,46600,46600,46600,46800,46800,46800,47700,47700,47700,48300,49600,49600,49600,49800,49800,49800,49800,49800,49800,49800,49800,49800,49800,49800,49800,49800,49800,49800,49800,49800,49800,49800,51800,51800,51900,51900,51900,51900
21500,24800,24800,24800,24800,25600,25900,28600,29000,29000,29000,30900,32900,33000,33000,33000,33000,33100,34900,34900,35100,35100,35800,35800,35800,35800,35800,35800,35800,35800,35800,35800,35800,35800,37400,38100,38100,38300,38300,38300,38400,38400,38400,38400,38400,38400,38400,38400,38400,38400,38400,38400,38400,38400,40700,40700,42700,42700,42700,42700,42700,42700,42700,42700,42700,42700,42700,42700,42700,42700,42700,42700,42700,42700,42700,42700,42700,42700,42700,42700,42700,42700,42700,42700,42700,42700,42700,42700,42700,42700,42700,42700,42700,42700,42700,42700,42700,42700,42700,42700
23700,24100,28200,28300,28300,28300,28300,28300,31500,31500,31800,32900,32900,35100,35100,36100,37200,37200,37200,37200,37200,37700,37700,37700,39700,39700,41000,41000,42400,42400,42400,42400,42400,42400,42400,42400,42400,42400,42400,42400,42400,42400,42400,42400,42400,42400,42400,42400,42400,42400,42400,42400,42400,42400,42400,42400,42400,42400,42400,42400,42400,42400,42400,42400,42400,42400,42400,42400,42400,42400,42400,42400,42400,42400,42400,44500,44500,44500,44500,44500,44500,44500,44900,44900,44900,44900,44900,44900,44900,44900,44900,44900,44900,44900,44900,44900,44900,44900,44900,44900
21400,24400,25700,25700,30900,30900,30900,30900,30900,31800,31800,31800,31800,31800,31800,31800,31800,33100,33100,34800,35500,36500,36500,36500,39600,39600,39800,39800,39800,39800,39800,39800,39800,39800,39800,41400,41400,41400,41400,41400,41400,41400,41400,41400,41400,41400,41400,41400,41400,41400,41400,41400,41400,41400,41400,41400,41400,41400,43000,43300,43400,43400,43400,43500,46100,46100,46100,46100,46100,46100,46100,46100,46100,46100,46100,46100,46100,46100,46100,46100,46100,46100,46100,46100,46100,46100,46100,46100,46100,46100,46100,46100,46100,46100,46100,46100,46100,46100,46100,46100
21800,22000,22000,26800,26800,26800,26800,28300,28300,28600,30200,30200,31500,32600,34700,34700,34700,35100,35100,35500,35500,35500,35500,35500,35500,35700,35700,36600,37500,37800,37800,37800,37800,37800,37800,37800,37800,37800,37800,37800,37800,37800,37800,37800,37800,37800,37800,37800,37800,37800,37800,37800,37800,37800,37800,37800,37800,37800,37800,37800,37800,37800,37800,37800,37800,37800,37800,37800,37800,37800,37800,37800,37800,37800,37800,37800,37800,37800,37800,38600,38600,38600,38600,38600,38600,38600,38600,38600,38600,38600,38600,38600,38600,38600,38600,38600,38600,38600,38600,38600
22500,26100,26100,26100,30300,31000,31200,32300,34400,35700,35700,35700,35700,35700,35700,35700,35700,35700,35700,35700,35700,35700,36500,36500,36500,36800,36800,37100,39500,39500,39500,39500,39500,44100,44100,44100,44700,44700,44700,44700,44700,44700,44700,44700,44700,44700,44700,44700,44700,44700,44700,44700,44700,44700,44700,44700,44700,44700,44700,44700,44700,44700,44700,44700,44700,44700,44700,44700,44700,44700,44700,44700,44700,44700,44700,44700,44700,44700,44700,44700,44700,44700,44700,44700,44700,44700,44700,44700,44700,44700,44700,44700,44700,44700,44700,44700,44700,44700,44700,44700
22200,23500,23500,24300,25300,27700,27700,27700,27700,30600,30600,31400,33300,33900,35600,35700,36400,37600,37600,37700,37700,38900,38900,38900,38900,38900,38900,38900,38900,38900,38900,38900,38900,38900,38900,38900,38900,38900,38900,38900,38900,38900,38900,38900,38900,38900,38900,38900,38900,38900,38900,38900,38900,38900,38900,38900,38900,38900,38900,38900,38900,38900,38900,38900,38900,38900,38900,38900,38900,38900,38900,39100,40800,40800,40800,42000,44700,44700,44700,44700,44700,44700,44700,44700,44700,44700,44700,44700,44700,44700,44700,44700,44700,44700,44700,44700,44700,44700,44700,44700
