0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
27000,27000,27000,27000,27000,27000,27000,27000,27000,27000,27000,27000,27000,27000,27000,27000,27000,27000,27000,27100,28700,28700,28700,28700,28700,28700,28700,28700,28700,28700,28700,28700,28700,28700,30000,30000,30100,30100,30100,30100,30100,30100,30100,32300,32300,32300,32300,32300,32300,32300,32300,32300,32300,32300,32300,32300,32300,32300,32300,32300,32300,32300,32300,32300,32300,32300,32300,32300,32300,32300,32300,32300,32300,32300,32300,32300,32300,32300,32300,32300,32300,32300,32300,32300,32300,32300,32300,32300,32300,32300,32300,32300,32600,32600,32600,32600,32600,32600,32600,32600
20000,20000,20500,20500,20500,22100,22100,22100,22100,22100,22200,22500,22500,22500,22500,22500,22500,22500,22500,24200,24200,24300,24500,26900,26900,26900,27000,27000,27000,27000,27000,27000,27000,27000,27000,27000,27000,28100,28100,28100,28100,28100,28300,28300,28300,28300,28400,28400,28400,28400,28400,28400,28400,28400,28400,28400,29800,29800,29800,29800,29800,29800,31000,31300,31300,31300,31300,31300,34500,34500,34500,34500,34500,34500,34500,34500,34500,34500,36500,36500,36500,36500,36500,36500,36500,36500,36500,36500,36500,36500,37000,37000,37000,37000,37000,37000,37000,37000,37000,37000
19900,19900,20100,21800,21800,21800,21800,21800,21800,24000,24000,24000,24000,24000,27300,27300,27300,27300,27300,27300,28500,28600,28600,29300,31400,31400,31400,31400,31400,32700,33700,33700,33700,34100,34100,34100,34100,34100,34100,34100,34100,34100,34100,35500,35500,35500,35500,35500,36400,36400,36400,36400,36400,36400,36400,36400,36400,36400,36400,36400,36400,36400,36400,36400,36400,36400,36400,36400,36400,36400,36400,36400,36400,36400,36400,36400,36400,36400,36400,36400,36400,36400,36400,36400,36400,36400,36400,36400,36400,36400,36400,36400,38400,38400,38400,38400,38400,38400,38400,38400
25800,25800,25800,25800,25800,25800,25800,25800,25900,25900,25900,29000,29000,29200,30300,30300,30300,30600,30600,30600,30600,30600,30600,30600,30600,30600,30600,30600,32000,32000,32000,32000,32000,32000,32000,32000,32000,32000,32700,32700,32700,32700,32700,32700,32700,32700,32700,32700,32700,32700,32700,32700,32700,32700,32700,32700,32700,32900,32900,32900,32900,32900,32900,34600,34600,34600,34600,34600,34600,34600,34600,34600,34600,34600,34600,34600,34600,34600,34600,34600,34600,34600,34600,34600,34600,34600,34600,34600,34600,34600,34600,35000,35000,35000,35000,35000,35000,35000,36000,36000
20400,20400,20400,20400,22900,23000,23000,23000,23000,23000,23000,23000,23600,23600,23600,24000,25500,25500,25500,25500,25500,26700,26700,26700,26700,26700,26700,26700,26700,26700,26700,26700,26700,26700,26700,27000,27000,27000,27000,27000,27000,27000,27000,27000,27000,27000,27000,27300,27500,27500,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,32000,32000,32000,32000,32000,32000,32000,32000,32000,32700,32700,32700,32700,32700,32700,32700,32700,32700,34700,34700,34700,34700,34700,34700,34700,35100,35100,35100,35100,35100,35100,35100,35100,35100,35100,35100,35100,35100,35100
23700,23700,23700,25800,25800,25800,25800,25800,25800,25800,25800,25800,25800,26200,26200,26200,26200,26600,26600,26600,27700,29700,29700,29700,29700,29700,29700,29700,29700,30400,30400,30400,30400,30400,30400,30400,30400,30400,30400,30400,30400,30400,30600,30600,30600,30600,30600,30600,30600,30600,30600,31000,31000,31000,31000,31000,34200,34200,34200,34200,34200,34200,34200,34200,34200,34200,34200,34200,35500,35500,35500,35500,35500,35500,36100,36100,36100,36100,36100,36100,36100,36100,36100,36100,36100,36100,36100,36100,36100,36100,36100,36100,36100,36100,36100,36100,36100,36100,36100,36100
21400,21400,21400,21400,24900,24900,26800,26800,26800,26800,26800,26800,26800,26800,26800,26800,26800,28100,28100,28100,28100,28100,28100,28100,28100,28100,28100,28100,28100,28100,29000,29000,29000,29000,29000,29600,29600,29600,29600,29600,29600,29600,29600,29600,29600,29600,29600,29600,29600,29600,29600,29600,29600,29600,29600,29600,30500,30500,30500,30500,30500,30500,30500,31200,31200,31200,32600,32600,32600,32600,32600,32600,32600,32600,32600,32600,32600,32600,32600,32600,32600,32600,32600,34400,34400,34400,34400,34400,34400,34400,34400,34400,34400,34400,34400,34400,34400,34400,34400,34400
24400,24400,24400,24400,24400,24400,24400,24400,24400,24400,24400,24400,24500,24500,24500,24900,24900,24900,28600,28600,28600,28600,28600,28600,28600,29000,29000,29000,29000,29000,29000,29000,29900,29900,30200,30200,30200,30200,30200,30500,30500,30500,30500,30800,30800,30800,30800,30800,30800,30800,30800,30800,30800,30800,30800,30800,30800,30800,30800,31300,31300,31300,31300,31300,31300,31300,31300,31300,31300,31300,31300,31300,31300,31300,31300,31300,31300,31300,31300,31300,32100,32100,33300,33300,34200,34200,34200,34200,34200,34200,34200,34200,34200,34200,34200,34200,34200,34200,34200,34200
20700,20700,20700,20700,20700,20700,21200,23300,23300,23300,23300,23300,23300,23300,25000,25000,25600,25600,25600,25600,25600,25600,25600,26800,26800,26800,26800,27100,27100,27100,27100,27100,27100,28200,29100,29100,29100,29100,29100,30100,30100,30100,30100,30100,30100,30100,30100,30100,30100,30100,30100,30100,30400,31700,31700,31700,31700,31700,31700,31700,31700,31700,31700,31700,32400,32400,34000,34000,34000,34000,34000,34200,34200,34300,34300,34300,35600,35600,37200,37200,37200,37200,37200,37200,37200,37200,37200,37200,37200,37200,37200,37200,37200,39200,39200,39200,39200,39200,39200,39200
25800,25800,25800,25800,25800,25800,26100,26100,26100,26100,26400,26400,26400,26400,26400,30000,30000,30000,30000,30000,30000,30000,30000,31700,33800,33800,33800,33800,33800,33800,33800,33800,33800,33800,34300,34300,34300,34300,34300,34300,34300,34300,34300,34300,34300,34300,34300,34300,34300,34300,34300,34300,34300,34300,34400,34400,34400,34400,34400,34400,35700,36000,37300,37300,37300,37300,37300,37300,37300,37300,37300,37300,37300,37300,37300,37300,37300,37300,37300,37300,37300,37300,37300,37300,37300,37300,37300,37300,37300,37300,37300,37300,37300,37300,37300,37300,37300,37300,37300,37300
