0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
19200,21500,22000,22000,22000,22000,22000,22000,22800,22800,23500,23500,23500,24500,24500,24500,24600,24600,25400,26000,28300,28300,28300,28300,28300,28300,28300,28300,28300,28300,28300,28500,28500,30500,30500,30500,30500,30500,32000,32000,32000,32000,32000,32100,32100,32500,32500,32500,32500,32500,33000,33000,33800,33900,34100,34100,34100,34100,34100,34100,34300,34300,34300,34300,34300,34300,34300,35200,35200,35200,35200,35200,35200,35200,35200,35200,35400,35400,35400,35400,35700,35700,35700,37000,37000,37000,37000,37000,37000,37000,37200,37200,37200,38500,38500,38500,38500,38500,38500,38500
21400,21900,21900,22200,22200,23600,23800,23800,23800,23800,26300,26300,26300,28300,28300,28300,28300,28300,28300,28300,28300,28900,28900,28900,28900,29500,29600,29600,30600,30700,30800,31500,31500,31500,31900,33800,33800,34500,34500,35200,35200,35400,36800,37100,37100,37100,37100,37900,38400,38900,38900,39200,39200,39700,39700,39900,39900,40000,40000,40700,40800,40800,40800,41000,41000,41000,41000,41500,41600,41800,41900,42000,42000,42000,43200,43400,43400,43400,43400,43400,43500,43500,43500,43500,44400,44400,44400,44400,44400,44400,44400,44400,44500,44500,44900,44900,44900,44900,44900,44900
22300,22700,25500,25500,25500,25500,26700,26700,26700,26700,26700,29000,29000,29000,29000,29100,29100,29900,30900,30900,32200,33600,33600,33600,33600,34200,34200,34200,34200,34200,34400,35800,35800,35800,36200,36200,36200,36200,36200,39100,39100,39100,39100,39100,39100,39100,39100,39100,39100,39100,39300,39300,39400,39400,40300,40600,40600,41400,41400,41400,42300,42600,42600,42600,42700,42700,42700,42700,42700,42700,42700,42700,42700,42700,42700,42700,42700,42700,42700,42700,42800,42800,42800,42800,43400,44700,44700,44700,44700,44700,44700,45900,45900,45900,45900,45900,46100,46100,46100,46100
20200,20200,20400,22500,26400,26400,28500,28500,28500,28500,30000,30600,30600,30600,30600,30600,30900,31000,31000,31000,31000,31000,31400,32600,32600,32600,32600,34300,34300,34300,34300,34300,34600,34600,37500,37500,37500,39700,40400,40400,40400,40400,41500,41500,41500,41500,41500,41500,41500,41500,41500,41500,41500,41500,41500,41500,41500,41500,41500,41500,41500,41500,41500,42500,42500,42500,42500,42500,42500,42500,42500,42500,42500,42500,44100,44100,44100,44100,44100,44100,44900,44900,44900,44900,44900,44900,44900,44900,44900,44900,44900,44900,44900,44900,44900,44900,44900,45900,46000,46000
24700,24700,24700,24700,24700,24700,24700,24700,25000,25900,25900,25900,25900,25900,25900,26200,26200,26200,26200,27900,27900,27900,27900,27900,27900,27900,27900,28800,30100,30100,30100,30100,34400,34400,34400,34600,34600,37100,37100,37100,37100,37100,37100,37700,37700,37700,39600,39600,39600,39600,39600,39600,39600,39600,39600,39600,39600,39700,39700,39700,39700,39700,39700,39700,39700,39700,39700,39700,39700,39700,39700,39700,39700,39700,39700,39700,39700,39700,39700,39700,41100,41100,41100,41100,41100,41100,41100,41100,41100,41100,41100,41200,41300,41300,41300,42100,42100,42100,42100,42200
21600,22300,24500,24500,26800,26800,26800,26800,26800,26800,28100,28100,28100,28100,28100,28100,28100,28100,28100,28100,28100,28100,28100,28100,30700,30700,30700,30700,30700,31200,31200,31200,31200,31200,31200,31200,31200,33200,33200,33200,33200,33200,33200,33200,33200,33200,33200,33200,33200,33200,33200,33200,33200,33200,33400,33400,33400,33400,33400,33500,33500,33500,33500,33500,34200,34200,34200,34200,34300,36000,36100,36100,36100,36100,36100,37700,37700,38600,38600,38600,39500,39500,41400,41400,42000,42000,42000,42400,43900,43900,43900,43900,43900,43900,45600,45900,45900,46000,46000,46000
29900,29900,29900,29900,29900,29900,29900,29900,29900,29900,30100,30200,30600,30800,31700,31700,31700,31900,31900,33200,33800,33800,33800,33800,33800,34400,34400,34400,34400,34400,34400,34400,35300,35300,35700,35700,36400,36400,37400,37400,37400,37400,38000,38000,38100,38200,39000,39100,39100,39100,39600,39600,39600,40400,40500,40500,40500,40500,40500,41300,41300,41300,41300,41300,41300,41300,41700,41700,42200,43000,43000,43100,43100,43100,43100,43100,43100,43100,43100,43100,43100,43100,43100,43100,43100,43100,43100,43100,43100,43100,43200,43200,43200,43200,43200,43200,43200,43200,43200,43200
20500,20500,20500,20500,20900,21300,21900,21900,24900,25900,25900,25900,25900,25900,28300,28300,30900,30900,32700,32700,32700,32700,35500,35500,35500,35500,36800,36800,36800,36800,36800,36800,36900,36900,37500,37500,37500,37500,37500,37700,38400,38400,38700,39100,39500,41500,41500,41500,41700,41700,41700,41700,42200,42200,42200,42200,42800,43300,44200,45300,45300,45300,45300,45300,46700,46700,46700,46700,46700,47200,47200,48700,48700,48700,49000,49000,49000,49000,49000,49000,49000,49000,49000,49100,49100,49100,49100,49300,49300,49300,49300,49300,49900,50000,50000,50000,50000,50000,50000,50000
20100,20300,20300,20300,20900,21100,22100,22600,22600,22600,26400,26400,26400,26400,26400,26400,26400,27500,27500,27500,27500,27500,27500,27500,27600,27600,27600,27600,27600,27600,27600,27600,29400,29400,29400,29400,29400,29900,29900,30900,30900,31100,31100,32600,32600,32600,32600,32900,35400,35400,36200,38200,38200,40200,40200,40200,40500,40500,40500,42300,42300,42300,42600,42600,42600,42600,43800,44300,44300,46200,46200,46200,46200,46500,46500,46500,46500,46500,46500,46500,47800,47800,47800,47800,47800,48000,48000,48000,48000,48000,48000,48000,48000,48000,48000,48000,48000,48000,48000,48000
23000,25700,25700,25700,27600,27600,27600,27600,27600,27600,27600,27600,27600,27600,27600,27600,27600,28200,30400,30400,30400,30400,30400,30400,30400,30400,30400,30800,30800,30900,31400,31400,31400,31900,32000,32700,32700,33200,33200,33800,33800,33800,33800,33800,33800,33800,33800,34000,35300,35300,35300,35300,35700,36200,36200,36500,36500,37700,37700,37700,37700,37700,37700,37700,37700,37700,37800,37800,40100,40100,40100,40100,41000,42200,42200,42200,42200,42200,42500,43400,43400,43400,43400,43900,43900,44300,44800,44800,44800,44800,44800,44800,44800,45600,45600,45600,45600,45600,45600,45600
18300,18800,18800,24000,24000,24000,24300,24500,28300,28300,28300,28300,29400,29400,29400,30000,30000,31600,32800,32800,32800,34100,34100,35600,35600,37600,37600,37600,37600,37600,37600,37600,37600,37600,37700,37700,37700,37700,37700,39200,39200,39200,39200,39200,39200,39200,39200,39200,39200,40100,40100,40100,40100,41500,41500,41500,41600,41600,41600,42400,42400,42400,42400,42400,42400,42400,42400,42400,42400,42400,42400,42400,42400,42400,42400,42400,42400,42400,42400,42400,42400,42400,43000,43500,44400,44600,44600,44600,44700,44700,45600,45600,45600,45600,45600,45600,45600,45600,45600,46500
20600,21500,21500,21500,21500,21700,21700,21700,23300,23300,23300,23300,23300,25000,25000,25000,25000,25000,25300,26900,26900,26900,26900,27800,28400,28400,28400,28400,29000,29000,29600,30600,30600,30600,30600,31600,33500,33500,33500,34300,34300,34900,35200,35200,35200,35200,35200,36300,37400,37400,37400,37700,37700,37700,37700,37700,37700,39000,39000,39000,39000,39000,39000,39000,39000,39000,39100,39100,39100,39100,39100,40300,40300,40300,40300,40300,40300,40300,40300,40300,40300,40300,40300,40300,40300,40300,42300,42300,42300,42300,42300,42300,42400,42400,42400,42400,42400,42400,42400,42500
20500,20500,22100,22100,22100,22100,22100,23200,23200,25900,25900,25900,25900,25900,25900,25900,25900,26400,26400,28500,28500,29100,29100,29100,29100,30400,30400,30500,30500,30900,30900,30900,31900,31900,33900,34000,34000,34000,34000,34000,34000,34000,34000,34000,34000,34000,34000,34000,34400,35200,35200,35200,35200,36900,36900,40100,41000,41000,41000,41100,41100,41100,41100,41100,41100,41100,41100,41100,41100,41100,41100,41200,41200,41400,42200,42200,42300,42300,44200,44200,44200,44200,44200,44200,44200,44300,44300,45700,45700,45700,45700,45700,45700,45700,45800,45800,46300,46300,46300,46300
21500,21500,21500,21800,24000,24000,24000,24000,24000,24000,24000,24000,24000,27100,27100,27100,27100,27100,27100,27100,27900,27900,27900,27900,27900,30100,30100,30100,30100,30100,31700,31700,32000,32700,32700,32700,32700,32700,32700,33100,33500,33500,33500,34800,34800,34800,35200,35900,36400,36900,36900,36900,36900,36900,36900,36900,36900,36900,37800,38100,40000,40000,40000,40000,40000,40000,40000,40100,40100,40100,40100,41900,41900,41900,41900,41900,41900,41900,43900,43900,43900,43900,44300,44300,44300,44300,44300,44300,44300,44300,45000,45000,45200,45200,45200,45200,45200,45200,45200,45200
19200,22700,22700,25700,25700,25700,25700,25700,25700,25800,26300,26300,27200,28200,30100,30100,30100,30100,30100,32300,32300,32300,32300,32300,35600,35600,35600,35600,35600,35600,35600,35700,35700,36500,36500,36500,36500,36500,37400,37400,37700,39400,39400,39500,39500,39500,43200,43200,43200,43300,43300,43700,43700,43700,44500,44500,44500,44600,44600,44600,44600,44900,45000,45000,45000,45000,45000,45200,45200,45200,45200,45200,45200,45200,45600,45600,45600,45600,45600,45800,45800,45800,45800,45800,45800,45800,45800,46800,46800,46800,46800,47000,47000,47000,47000,47000,47000,47000,47000,47000
22900,26300,26400,26400,26400,26400,26400,26400,26400,26400,30400,30400,30400,30400,30400,30400,30400,30400,30400,30400,30400,30800,33200,33200,33200,33200,33200,33200,33200,33900,33900,34000,34000,34000,34000,34000,35200,35200,35200,35200,38900,38900,38900,39300,39300,39300,41200,41200,41200,41200,42900,42900,42900,43000,43700,43700,43700,45100,45100,45100,45100,45100,45300,46100,46100,46100,46100,46100,46500,46500,46500,46600,46600,46600,46600,47700,48300,48300,48300,48300,48300,48300,48700,48700,48700,48700,49800,49800,49800,49900,49900,49900,49900,49900,49900,49900,49900,49900,50300,50600
23300,23300,23300,23300,23300,24500,24600,24600,25900,25900,26100,26100,26100,27400,27400,28300,28300,28300,28600,28600,28600,31200,33100,33100,33100,33300,33300,33800,33800,33800,33800,33800,33800,35900,35900,35900,35900,35900,37200,37200,37200,37200,39300,39900,39900,39900,40100,40600,40600,40600,40800,40800,40800,40900,41000,41200,41200,41200,41200,41300,41300,42500,42500,42500,42500,42500,42500,42500,42500,42500,42500,42500,42500,42700,42700,42700,42700,42700,42700,43200,43200,43200,43200,43400,43400,44700,45200,45200,45200,45200,45200,45200,45200,45200,45200,46500,46500,46500,46500,46500
20200,23200,23200,23500,23500,23800,23800,23800,23900,23900,27800,27800,27800,27800,27800,28500,29200,29200,29900,29900,30400,30400,30400,30400,30400,32700,32700,32700,34300,34300,34300,34300,34300,34900,34900,34900,34900,34900,34900,34900,35000,35800,36900,37100,37100,37100,37100,37100,37100,37700,37700,37700,37700,37700,37900,37900,37900,37900,37900,38500,38500,38500,38500,38500,38500,38500,38500,38900,38900,38900,39800,39800,39800,39800,39800,39900,39900,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000
17600,21800,21800,21800,21800,22500,24600,24600,24600,24600,24600,24600,27800,27800,28700,28700,28700,31200,31200,31600,31600,31700,31700,31700,32400,32900,32900,32900,32900,32900,32900,33000,33000,36000,36000,36000,40700,42600,42600,42600,42600,42600,42600,42600,42600,42600,43300,43300,43300,43300,44000,44000,44000,46300,46300,46500,46500,46500,46500,48400,48400,48400,48400,48400,48400,48400,48900,50900,50900,50900,50900,50900,50900,50900,50900,50900,50900,50900,50900,50900,50900,50900,50900,50900,51500,51500,51500,51500,51500,51500,51500,51500,51500,51500,52400,52400,52400,52500,52500,52500
20500,21100,21100,21100,21100,24400,24400,26900,26900,26900,26900,26900,26900,26900,26900,28400,28400,28400,28400,28400,28500,28500,28800,28800,28800,28800,29200,29200,29200,29200,29200,29200,31600,31600,31600,31600,32000,32000,32800,32800,32800,33400,33400,33400,33400,33400,33400,33400,33400,35500,35500,35500,35500,35500,37500,37500,37500,40300,40300,40300,40300,40300,40300,40300,40300,40300,40300,40800,40800,40800,42200,42200,42200,42400,42400,42800,44800,44800,44800,44800,44800,44800,44800,44800,44800,46100,46100,46100,46100,46100,46100,46100,46100,46100,46600,47200,47200,47200,47200,47200
22300,22300,22500,23200,23200,23200,25200,25200,26500,27600,27600,27600,27600,29100,29100,31100,31100,31100,31300,31300,31300,31300,31300,31300,31300,31400,31400,31400,31400,31400,33200,33400,33400,33700,33700,33700,34400,34400,35400,35400,35600,35700,37000,37600,37600,38100,39000,39000,39000,39400,39500,39800,41500,41500,41500,41900,41900,41900,41900,41900,41900,41900,41900,43100,43100,43100,43100,43100,43100,44900,44900,44900,44900,44900,44900,45300,45300,45300,45300,45300,45300,45300,45300,45300,45300,45300,46200,46200,46200,46200,46200,46200,46600,46600,46600,46600,46600,46600,46600,46600
23000,23000,24600,24600,25200,27600,27600,28600,31100,31100,31100,31100,31100,31100,31100,31100,31100,34100,34100,34100,34400,36500,36500,36500,37400,37400,38000,38100,38100,38100,38500,38500,38500,39400,40400,40400,40400,41000,41000,41000,41000,41000,41000,41800,41800,42100,42100,43000,43000,43900,43900,44100,44100,44100,44100,44100,44600,44600,44600,46100,46100,46100,46100,46600,46600,46600,46900,46900,46900,46900,46900,46900,46900,46900,46900,46900,46900,47200,47200,47200,47200,47200,47200,47200,47200,47200,47200,47200,47200,47400,47400,47400,47400,47400,47400,47400,47400,47400,49400,49400
24100,24100,25000,27100,27200,27700,34300,34300,34300,38700,38700,38700,39200,39200,40700,40700,40700,40700,40900,40900,41100,41100,41100,41100,41100,41100,42000,42000,42000,42000,42000,42000,42000,42100,42100,45700,45700,45800,45800,45800,45800,45800,47800,47800,47800,47800,47800,47800,47800,47900,47900,48000,48000,48000,48000,49200,49200,49200,49200,49200,49200,49200,49300,49300,49400,49400,49400,49400,49800,49800,49800,49800,49800,49800,49800,49800,49800,49800,49800,49800,49800,49800,49800,49800,49800,49800,49800,49800,49800,49800,50700,50700,51200,51200,51200,51200,52100,52100,52100,52100
22900,23900,23900,23900,25800,25800,25800,26500,26500,26500,26500,26500,26500,29100,29100,30100,30100,30100,30100,30100,30100,31000,32200,32200,32300,32300,32300,32300,32300,32300,32300,32300,34300,34300,34500,36900,36900,36900,36900,36900,36900,38200,38900,40200,40200,40200,40200,40200,41400,42800,42800,42800,42800,42800,42800,42800,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,44900,44900,44900,44900,44900,44900,44900,45500,45500,45600,45600,45600,45600,45600,45600,45600,45600,45600,45600,45600,45600,45600,45600,45600,45600,45600,45600,45600,45600,45600,45600
22500,22500,22500,22500,22500,22500,26000,26000,26000,26000,26600,26600,26600,26600,26600,26600,27800,27800,27800,27800,27800,30300,30300,30300,30300,30300,30300,30300,31500,31500,33600,33600,33600,33600,33600,33600,33600,33600,34200,34200,34200,34200,34400,34400,34400,34500,34500,34500,34500,34500,35100,35200,36900,36900,36900,36900,36900,36900,36900,36900,36900,36900,36900,36900,36900,36900,36900,36900,36900,36900,36900,36900,36900,36900,36900,36900,36900,37900,37900,37900,37900,37900,37900,37900,37900,37900,37900,37900,37900,37900,37900,37900,37900,37900,37900,39100,39100,39100,39100,39100
24300,24300,24300,29800,29800,29800,31600,31600,31600,31600,31600,31600,31600,32400,32400,32400,32400,32400,32400,32400,32400,32400,32400,32400,32400,34300,35500,35500,35500,40400,40400,40400,40400,40400,40400,40400,43900,43900,43900,43900,43900,43900,45100,45100,45100,45100,45100,45100,45100,45100,45100,45100,45100,45300,45300,45300,46000,46500,46500,46500,48400,48400,48400,48400,48500,48500,48500,48600,48600,48700,48700,48700,48700,48700,48700,48700,48700,48700,48700,48700,48700,48700,48700,48700,48700,48700,48700,50700,50700,50700,50700,50700,50700,50700,50700,50700,50700,50700,50700,50700
20000,20000,20000,20000,21300,21800,21800,22300,22300,22300,23000,26200,26200,26200,26200,26200,29500,30600,30600,30600,31900,31900,32900,32900,32900,32900,33100,35300,35300,35300,36700,37200,37500,37500,37500,37700,37700,37700,37700,37700,37700,37700,38900,38900,38900,39400,39400,39400,40100,40100,40100,40200,42000,42100,42100,42100,42300,42300,42300,42800,42800,43000,43000,43000,43000,43100,43100,43100,43100,43100,43100,43100,43100,43200,44100,44100,44200,44200,44200,44200,44200,44400,44400,44500,44500,44700,44700,44700,45400,45400,45400,45400,45400,45400,45400,45500,45500,45500,45500,45600
