0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149
22500,22500,22500,25300,26200,28500,28500,30300,30300,30300,30300,30300,30300,30300,30300,30300,30300,30400,30400,30400,30400,32900,32900,32900,34800,35300,35300,35300,35300,35300,36800,36800,36800,36800,36800,37100,39600,39600,39600,39600,39600,39600,39600,39600,39600,41900,41900,41900,41900,41900,42300,42300,42300,43800,43800,43800,43800,44500,44500,44500,44500,44500,44700,45400,45400,45400,45400,45400,45400,45400,47900,47900,47900,47900,47900,48100,48100,48100,48100,48100,48100,48100,48100,48100,48200,48200,48200,48600,48800,48800,52500,52500,52500,52500,52500,52500,52500,52500,52500,53200,53200,53200,53200,53200,53200,53200,53200,53200,53200,54700,54700,54700,54700,55400,55400,55400,55400,55400,55400,55400,55400,55400,55400,55400,55400,55400,55400,55400,55400,55400,55400,55400,55400,55400,55400,55400,55400,55400,55400,55400,55500,55500,55500,57300,57300,57300,57300,57300,57300,57300
21100,21800,21800,22400,22400,24600,24600,26300,27100,27100,27500,29200,29200,31700,31700,32100,32500,34600,34600,34600,34600,34600,36000,36000,36400,36500,36500,36500,36500,36500,38700,38700,38700,40000,40000,40000,40000,42400,42400,42400,42400,42400,42500,42500,42500,42500,44000,44000,44000,44000,44000,44700,44700,44700,44800,44800,44800,45300,45300,45300,45300,45300,45700,50100,50100,50100,50100,50100,50100,50900,52600,52600,52600,52600,52600,52600,52600,52600,52600,54100,54100,55600,55600,55600,55600,55600,55600,55600,55600,55600,55600,55600,55600,55600,55600,55600,55600,55600,55600,55600,55600,55600,55600,55600,55600,55600,55600,55600,55600,55600,55600,55600,55600,55600,55600,55600,55600,55600,55600,55600,55800,55800,55800,55800,55800,55800,55800,55800,55800,55800,55800,55800,56700,58100,58100,58100,58100,58100,58100,58100,58100,58100,58100,58100,58100,58100,58100,58100,58100,58100
25800,25800,26300,26800,26800,27800,27900,28100,29200,29200,29200,29600,29800,29800,30500,32600,34200,34200,34200,34200,34500,36700,36700,38100,38100,38100,38100,38100,38100,40100,40100,40100,40100,40100,40200,40200,40200,40400,41300,41800,41800,41800,42400,42400,42400,42400,42400,45000,45000,45000,45000,45000,45000,45000,45800,46300,46300,46400,46400,46500,46500,46500,47300,47300,47300,47300,47800,48400,48400,48400,48400,48400,48400,48400,48400,48400,48400,49400,49400,49400,49500,50100,50800,50800,50900,50900,50900,50900,50900,50900,50900,50900,50900,50900,50900,50900,50900,50900,50900,50900,50900,50900,50900,50900,50900,50900,50900,50900,50900,50900,50900,50900,50900,50900,50900,50900,50900,50900,50900,53100,53100,53100,53100,53100,53100,53100,53100,53100,53300,53300,53300,53300,53300,53300,53700,53700,53700,53700,53700,53700,53700,53700,53700,53700,53700,53700,53700,53700,53700,53700
24100,24100,24100,24100,24100,24300,26500,28400,28400,28400,28400,28400,28400,28400,28400,28400,31700,34000,34000,34300,34700,34700,34900,35500,35500,35500,35500,38000,38000,38700,38700,38700,39300,39300,39300,39300,40400,40400,40400,40400,40400,40400,40400,41300,41300,41300,41300,41300,41300,41300,41300,42200,42200,42200,44700,44700,44700,44700,44700,44700,44900,44900,44900,45700,45700,45700,45700,47500,47500,47500,47500,47500,47500,48300,48300,48300,48300,48300,48300,48300,48300,48300,48300,48300,48300,48300,48500,48500,48500,48500,48600,48600,48800,48800,48800,49000,49400,49400,50300,50300,50300,50300,50300,50500,52800,52800,52800,52800,52800,52800,52800,52800,52800,52800,52800,52800,52800,52800,52800,52800,52800,52800,52800,52800,52800,52800,52800,52800,52800,52800,52800,52800,52800,52800,52800,52800,52800,54700,54700,54700,54700,54700,54700,54700,54700,54700,54700,54700,54700,54700
19200,20600,22200,22600,22600,25000,25000,26400,26400,26400,27100,27600,27600,28700,28700,29100,29100,29300,29900,31400,31400,31600,31600,31600,33400,37100,37100,37100,37200,38900,38900,40300,40300,40300,40300,40300,40300,40300,40300,40300,40700,40700,40700,42300,42300,42300,42300,42300,42700,42700,44900,44900,44900,44900,44900,46900,46900,46900,46900,46900,46900,46900,47800,47800,47800,47800,47800,47800,47800,47800,48800,48800,48800,48800,48800,48800,48800,48800,48800,48800,48800,48800,48800,48800,48800,48800,49800,49800,49800,49800,49800,49800,49800,49800,49800,49800,49800,49800,49800,49800,49800,49800,49800,49800,49800,49800,49800,49800,49800,49800,49800,49800,49800,49800,49800,49800,49800,49800,49800,49800,49800,49800,49800,49800,49800,49800,50700,50700,50700,50700,50700,50700,50700,50700,51600,51600,51600,51600,52000,52000,52000,52000,52000,52000,52000,52000,52000,52000,52000,52000
24700,26000,26000,26000,26000,26000,26000,28300,28300,28300,29200,29800,30400,30400,32800,32800,32800,33800,36900,36900,36900,36900,39700,42300,42300,42300,42300,42300,43300,43300,43300,43300,43300,43300,43300,44300,44300,44300,44300,44300,44300,44300,44300,44300,44300,44300,44300,44300,44300,44300,44300,44300,44300,44300,46100,46100,46100,46100,46100,46100,46100,46100,46100,46100,46100,46100,46100,46100,46100,46100,46100,46100,46100,46100,46100,46100,46100,48900,48900,48900,48900,48900,48900,48900,48900,48900,48900,48900,48900,48900,49200,49200,49200,49200,49200,49400,49400,49400,49800,49800,49800,50200,50200,51500,51500,52200,52200,52200,52200,52200,53800,53800,53800,53800,54200,54200,54200,54200,54200,54200,54200,54200,54200,54200,54200,54200,54200,54200,54200,54200,54200,54800,54800,54800,54800,54800,54800,54800,54800,54800,54800,54800,54800,54800,54800,54800,54800,54800,54800,54800
21000,22100,22100,22100,26100,26100,26100,26100,26100,26100,26100,28000,28000,28700,29200,29200,29200,31000,31300,31800,31800,31800,31800,32000,32000,36300,36300,36300,36300,36300,37100,37100,37100,37400,37400,37400,37400,45400,45400,45400,45400,45400,45400,45400,45400,45400,45400,45400,45400,45400,45400,49500,49500,49500,49500,49500,51600,51600,51600,51600,51600,51600,51600,51600,51600,51600,51600,51600,51600,51600,51600,51900,51900,51900,51900,51900,51900,51900,51900,51900,51900,51900,53700,53700,53700,53700,53700,53700,53700,53700,53700,53700,53700,53700,53700,53700,53700,53700,53700,53700,53700,53700,53700,53700,53700,53700,53700,53700,53700,53700,53700,53700,53700,53700,53700,53700,53700,53700,53700,53700,53700,53700,53700,53700,53700,53700,54400,54400,54400,54400,54400,54400,54400,54400,54400,54400,54400,54400,54400,54400,54400,54400,54400,54400,54400,54400,54400,54400,54400,54400
24200,29600,29600,29600,29600,29600,30500,34700,34700,34700,34700,34700,34700,34800,34800,34800,35500,36800,37000,37000,37000,37000,37000,37800,38800,38800,38800,38800,38800,39700,39700,39700,39700,39700,39700,39700,39700,39700,39700,39700,39700,39700,39700,41000,41000,41000,41000,41000,41000,41000,41000,41000,41000,41000,41600,42400,42400,42400,42400,43000,43000,43000,43100,47100,47100,47100,47100,47100,49100,49100,49100,49100,50900,50900,50900,50900,50900,50900,50900,50900,50900,50900,50900,50900,50900,50900,50900,50900,50900,50900,50900,50900,50900,50900,53700,53700,53700,53700,53700,53700,53700,53700,53700,53700,53700,53700,53700,53700,53700,53700,53700,53700,53700,53800,53800,53800,53800,53800,53800,53800,53800,53800,54100,54100,54100,54200,54200,54200,54200,54200,54200,54200,54200,54200,54200,54200,54200,54200,54200,54200,54200,54200,54200,54200,54200,54200,54200,54200,54200,54200
24100,24100,27800,27800,27800,28700,29100,29100,29100,29600,29600,29600,32500,32600,32600,34600,34600,34600,34600,37100,37100,37100,37100,37300,37900,38300,38600,38600,38600,38600,38600,40100,40100,40400,40400,40800,40800,40800,40800,40800,40800,40800,40800,41000,42000,42000,42000,42000,43200,43200,43200,43200,43200,43200,43200,43200,43200,43400,43400,43400,43400,43400,43400,43400,43400,43400,43400,43400,43900,43900,43900,43900,43900,43900,43900,43900,43900,43900,43900,43900,43900,45300,45300,45300,45300,45300,45300,45300,45300,45300,45300,45300,45300,45300,45300,45300,45300,45300,45300,45300,45300,45300,45300,45300,45900,47000,47000,47000,48000,48000,48000,48000,49100,49200,50300,52900,52900,52900,52900,52900,52900,52900,52900,52900,52900,52900,52900,52900,52900,52900,52900,52900,54100,54100,54100,54100,54100,54100,54100,54100,54100,54100,54100,54100,54100,54100,54100,54100,54100,54100
19100,19100,19100,22500,22500,22500,23900,24100,24100,24600,28000,28900,29700,29900,30000,30000,30000,32400,32400,33700,33700,35400,35400,35400,35400,36700,36700,36700,36700,36700,37300,37300,37300,37300,37300,37300,37700,37700,39200,39200,39200,39200,39200,39300,39300,39300,39300,39300,39300,39300,39800,39800,39800,39800,39800,39800,39800,39800,39800,39800,39800,39800,40400,40400,40400,40400,40400,40400,40400,40400,40400,40400,40400,40400,40400,40400,40400,40600,41300,42300,42400,42400,42400,42400,42500,42600,42600,42600,42600,42600,42600,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,44700,44700,44700,44700,44700,44700,44700,45300,45300,45300,45300,45300,45300,48200,48200,48200,48200,49000,49000,49000,49000,49000,49800,49800,49800,49800,49800,49800,49800,49800,49800,49800,50200,51300,51600,51600,51600,51600,51600,51600,51600,51600,52200,52200,52200
