0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
26200,26200,26300,26300,28900,28900,29000,29000,29000,29000,29000,29000,29000,29500,32800,36100,36100,36100,36700,36900,36900,36900,37500,37500,41100,41100,41100,42300,42300,42300,42300,42300,42300,42500,42500,44300,44300,44300,44300,44300,44300,44300,44300,44300,44300,44300,44300,44300,44300,44300,44300,44300,44300,44300,44300,44300,44300,44300,44300,44300,44300,44300,44300,44300,44700,48200,48200,48200,48200,48200,48200,48200,48200,48200,48200,48200,48200,48200,48200,48200,48200,48200,48200,48200,48200,48200,48200,48200,48200,48200,48200,48200,48200,48200,48200,48200,48200,48200,48200,48200
21700,25400,27800,28100,29100,29100,29100,29100,29100,29100,31100,31400,31400,31400,31400,31500,31500,33500,33500,34300,37800,37800,38300,38300,38300,39300,39700,40300,42300,42300,42300,42300,42300,42300,42300,42300,42300,42300,42300,42300,42300,42300,42300,42300,42300,42300,42300,42300,42300,42300,42300,42300,42300,42300,42300,42300,42300,42300,42300,42300,42300,42300,42300,42300,42300,42300,42300,42300,42300,42300,42300,42300,42300,42300,42300,42300,42300,42300,44000,44000,44000,44000,44000,44000,44000,44000,44000,44000,44000,44000,44000,44000,44000,44000,44000,44000,44000,44000,44000,44000
20800,22200,22500,23100,27500,32000,32200,33100,33100,33100,33100,33100,33100,33100,33100,33600,34500,34500,35900,36200,36600,36600,36600,36600,36600,36600,36600,36600,36600,36600,36600,36600,36600,36600,36600,36600,36600,36600,36600,36600,36600,36800,38300,40900,40900,40900,40900,40900,40900,41200,41200,41200,41200,41200,41200,41200,41200,41200,41200,41200,41200,41200,41200,41200,41200,41200,41200,41200,41200,41200,41200,41200,41200,41200,41200,41200,41200,41200,41200,41200,41200,41200,41200,41200,41200,41200,41200,41200,41200,41200,41200,41200,41200,41200,41200,41200,41200,41200,41200,41200
24000,25600,26000,26800,27100,29500,29500,29500,29500,29500,29500,29500,29500,30600,30600,30600,31000,31000,31900,33900,34900,34900,36600,37300,37300,37300,37300,37300,37300,37300,37300,37300,37300,37300,37300,37300,37300,38600,40200,40200,40200,40200,40200,40200,40200,40200,40200,40200,40200,40200,40200,40200,40200,40200,40200,40200,40200,40200,40200,40200,40200,40200,40200,40200,40200,40200,40200,40200,40200,40200,40200,40200,40200,40200,40200,40200,40200,40200,40200,40200,40200,40200,40200,40200,40200,40200,40200,40200,40200,40200,40200,40200,40200,40200,40200,40200,40200,40200,40200,40200
21100,21600,21900,25700,25700,28100,28100,28100,29600,29600,29600,31600,32700,32700,34600,34600,34600,35200,35200,35200,35200,35200,35200,35200,35200,35200,35200,35200,35200,35200,36900,36900,38100,38100,38100,38100,38100,38100,38100,38100,38100,38100,38100,38100,38100,38100,38100,38100,38100,38100,38100,38100,38100,39100,41500,41500,42200,42200,42200,42200,42200,42200,42200,42200,42200,42200,42200,42200,42200,42200,42200,42200,42200,42200,42200,42200,42200,42200,42200,42200,42200,42200,42200,42200,42200,42200,42200,42200,42200,42200,42200,42200,42200,42200,42200,42200,42200,42200,42200,42200
23300,23300,26300,31400,31400,31400,31400,31400,31400,31400,31400,31400,31400,31400,31400,31400,31600,31600,32500,32500,33000,33000,33900,34500,34700,34700,34700,34700,35500,36100,36100,36100,36100,36100,36100,36700,38600,38600,38600,38600,38600,38600,38600,38600,38600,38600,38600,38600,38600,38600,38600,38600,38600,38600,38600,38600,38600,38600,38600,38600,38600,38600,38600,38600,38600,38600,38700,38700,38700,38700,38700,38700,38700,38700,38700,38700,38700,38700,38700,38700,38700,38700,38700,38700,38700,39900,39900,40800,41500,41500,41500,41500,41500,41500,41500,41500,41500,41500,41500,41500
21500,21800,23500,26300,26300,28900,28900,28900,28900,28900,29100,29100,29100,29100,29100,29100,29100,30600,30600,32300,33300,33300,33300,33300,33300,33300,33300,33300,37500,37500,37700,39000,39000,39000,39000,39000,39000,39300,39300,41100,41100,41100,41100,41100,41100,41100,41100,41100,42600,42600,43600,43600,43600,43600,43600,43600,43600,43600,43600,43600,43600,43600,43600,43600,43600,43600,43600,45500,45500,46400,46400,46400,46400,46400,46400,46400,46400,46400,46400,46400,46400,46400,46400,46400,46400,46400,46400,46400,46400,46400,46400,46400,46400,46400,46400,46400,46400,46400,46400,46400
20500,25400,25400,25900,29400,29400,29400,29400,31000,31700,32600,32700,32700,32700,32700,32700,32700,32700,32700,32700,32700,32700,37000,37000,37700,37700,37700,37700,37700,37700,37700,37700,37700,37700,37700,37700,37700,37700,37700,37700,37700,37700,37700,37700,37700,37700,37700,37700,37700,37700,37700,37700,37700,37700,37700,37700,37700,37700,37700,37700,37700,39200,39200,42100,42100,42100,42100,42100,42100,42100,42100,42100,42100,42100,42100,42100,42100,42100,42100,42100,42100,42100,42100,42100,42100,42100,42100,42100,42100,42100,42100,42100,42100,42100,42100,42100,42100,42100,42100,43000
24400,24400,25900,26100,28800,29300,30900,30900,32500,32500,33000,33000,33000,33000,35000,35000,35700,37700,37700,37700,37700,37700,37700,37700,37700,37700,37700,37700,37700,37700,37700,37700,37700,37800,37800,39800,39800,39800,39800,39800,39800,39800,39800,39800,39800,39800,39800,39800,39800,39800,39800,39800,39800,39800,39800,39800,39800,39800,39800,39800,42100,42100,42100,42100,42100,42100,42100,42100,42100,42100,42100,42100,42100,42100,42100,42100,42100,42100,42100,42100,42100,42100,42100,42100,42100,42100,42100,42100,42100,42100,42100,42100,42100,42100,42100,42100,42100,42100,42100,42100
24900,27200,28800,28800,28800,30500,30500,30500,30500,31500,32200,33300,34900,35400,37300,37300,37700,37700,39400,39400,39400,39400,39400,39400,39400,39400,39400,39400,39400,39400,39400,39400,39400,39400,39400,39400,39400,39400,39400,39400,39400,39400,39400,39400,39400,39400,39400,39400,39400,39400,39400,39400,39400,39400,39400,39400,39400,39400,39400,41400,41400,41400,41400,42200,42200,43500,44000,44800,44800,44800,44800,44800,44800,44800,44800,44800,44800,44800,44800,44800,44800,44800,44800,44800,44800,44800,44800,44800,44800,44800,44800,44800,44800,44800,44800,44800,44800,44800,44800,44800
