0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
22900,27400,27600,27600,27600,27600,27600,29200,29200,29800,30700,30700,30700,30700,30700,30700,31700,31700,33100,33100,33100,33100,33100,33100,33100,33100,33100,33100,33100,33100,33100,33100,33100,33100,33100,33100,33100,33100,33200,33200,33200,33200,33200,33200,33200,33200,35400,35400,35400,35400,35400,35400,35400,35400,35400,35400,35400,35400,35400,35400,35400,35400,35400,37200,37200,37200,37200,37200,37900,37900,37900,37900,37900,37900,37900,37900,37900,37900,37900,37900,37900,37900,37900,37900,37900,37900,37900,37900,37900,37900,37900,37900,37900,37900,37900,37900,37900,37900,37900,37900
20900,20900,20900,20900,20900,22500,22500,22500,22500,22500,22500,22500,22500,22500,22500,24400,24400,24400,24400,25800,25800,25800,25800,25800,25800,25800,25800,27600,27600,27700,27700,27700,27700,27700,27700,27700,27700,27700,27700,27700,28500,28500,28500,28500,28500,28500,28600,28600,28600,28600,28600,28600,28600,28600,30600,30600,30600,30600,30600,30600,32100,32100,33100,33100,33100,33100,33100,33100,33100,33100,33100,33500,33500,33500,33500,33500,33500,33500,33500,33500,33500,33500,33500,33500,33500,33500,33500,33500,33500,34100,34100,34100,34100,34200,34200,34200,34200,34200,34200,34200
20600,20600,20600,26500,26500,26500,26500,26500,26500,28600,28600,28600,28600,29000,29000,29000,29000,29200,29200,29200,29200,29200,29200,29200,29200,29200,29500,29500,30800,31300,31700,31800,31800,31800,31800,31800,34000,34000,34000,34000,34000,34000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35400,35400,35400,35400,35400,35400,35700,35700,35700,35700,35700,35700,35700,35700,35700,35700,35700,35700,35700,35700,35700
20500,24200,24200,24200,24200,24200,24200,24200,25100,25800,25800,25800,26200,26200,26200,26200,26200,26300,26300,26300,26300,28300,28300,28300,28300,30500,30500,30500,30500,30500,30500,30500,30500,30500,30500,30500,32200,32200,32200,32200,32300,32300,32300,32300,32300,32300,32300,33600,33600,33600,33600,33600,33600,33600,33600,33600,33600,33600,33600,33600,33600,33600,33600,33600,33600,33600,33600,33600,33600,33600,33600,33600,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35400,35400,37000,37000,37000,37000,37000,37000,37000,37000
17800,19700,19700,20800,22200,22200,22200,22200,22600,22600,22600,22600,22600,22600,23300,23300,28000,28000,28000,28000,28000,28000,28000,28000,29600,29600,29600,29600,29600,29600,29900,30300,30300,30300,30300,30300,30300,30300,30300,30300,30300,30300,30300,30300,30300,30300,30300,30300,30300,30300,30300,30300,30300,30400,30400,30400,30400,30400,30400,30400,30700,30700,30700,30700,30700,30700,30700,30700,30700,30700,30700,30700,30700,30700,30700,30700,30700,30700,30700,30700,30700,32700,32700,32700,32700,32700,32700,33000,33000,33000,33200,33200,33900,33900,33900,33900,33900,33900,33900,33900
23900,23900,24600,24600,26000,27300,27300,27300,27300,27400,27400,27400,27400,27400,27400,27500,27500,27500,27500,27500,27500,27500,29200,29200,29200,29200,29200,29200,29200,29200,29200,29200,29200,29200,29200,29200,30700,30700,30700,30700,30700,30700,30700,30700,30700,30700,30700,30700,30700,30700,30700,30700,30700,30700,32500,32500,32500,32500,32500,32500,32500,32500,34000,34000,34000,34000,34000,34000,34000,34000,34000,34000,34000,34000,34700,34700,34700,34700,34700,34700,34700,34700,34700,34700,34700,34700,34700,34700,34700,34700,34700,34700,34700,34700,34700,34700,34700,34700,34700,34700
23800,23800,23800,23800,24100,24100,24100,24100,24100,24100,24100,24100,24100,24100,24100,26200,26200,26200,26200,26200,26200,26200,26200,26200,26200,26200,26200,26200,26200,26200,26900,26900,26900,26900,26900,26900,26900,26900,26900,26900,27700,28200,28400,28400,28400,28400,28400,28400,28400,28400,28400,28400,28400,28400,28600,28600,28600,28600,28600,28600,28600,28600,28600,28600,28600,28600,28600,28600,28600,28600,28600,28600,28600,28600,28600,28600,28600,28600,28600,28600,28600,28600,28600,28600,28600,28600,28600,28600,29300,29300,29300,29800,30600,30600,30600,30600,30600,30600,30600,30600
19800,19800,19800,19800,19800,21500,21500,21500,21500,21500,23400,23400,23400,24500,24500,25600,25600,25600,25600,25600,26000,26000,26000,26000,26000,26100,26100,26100,26100,26100,26100,26100,26100,26100,26100,26100,26100,26100,26100,26100,26100,26300,26300,26600,26600,26900,26900,26900,26900,26900,26900,26900,26900,26900,26900,26900,26900,26900,26900,26900,27000,27000,28000,28000,28000,28000,28000,28000,28000,28000,28000,28000,28000,28000,28000,28000,28000,28000,28000,28000,28000,28000,28000,28000,28000,28000,28000,28000,28000,28000,28000,28100,28100,28100,28100,28100,28200,28200,28200,28200
18500,22100,22100,22100,22100,22100,22100,22100,22100,22100,22100,22100,22100,26100,26100,26100,26100,26400,26400,26400,26400,26400,26400,28700,28700,28700,28700,28700,30000,30000,30000,30000,30100,30100,30100,30100,30100,30100,30100,30100,30100,30100,30100,30100,30100,30100,30100,31000,36600,36600,36600,36600,36600,36600,36600,36600,36600,36600,36600,36600,36600,36600,36600,36600,36600,36600,36600,37600,37600,37600,37600,37600,37600,37600,37600,38200,38200,38200,38200,38200,38200,39600,39600,39600,39600,39600,39600,39600,39600,39600,39600,39600,39600,39600,39600,39600,39600,39600,39600,39600
27600,27600,27600,27600,27600,27600,27600,27600,27600,27600,27600,27600,28500,30300,30300,30300,31200,31200,31200,31200,31800,31800,31800,31800,31800,31800,31800,31800,31800,31800,31800,33700,33700,33700,33700,33700,33700,33700,33700,33700,33700,33700,33700,33700,33700,33700,33700,33700,33700,33700,33700,34700,34700,34700,34700,34700,35800,35800,35800,35800,35800,35800,35800,35800,35800,35800,35800,35800,35800,35800,35800,36500,36500,36500,36500,36500,36500,36500,36500,36500,36500,36500,36500,36500,36500,36500,36500,36500,36500,36500,36500,36500,37700,37700,37700,37700,37700,37700,37700,37700
