0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
21200,23700,23700,23700,23700,23700,25500,26700,26700,26700,26700,26700,26700,26700,26700,26700,26700,26700,28700,28700,29200,29200,29200,29200,29200,29200,29200,29700,29700,29700,29700,29700,29700,29700,29700,29700,29700,31600,31600,31600,32200,32200,32200,32200,32200,33400,36000,36000,38000,38000,38000,39600,39600,39600,39600,39600,39600,39600,39900,39900,39900,39900,39900,40400,40400,42100,42100,42100,42900,42900,42900,44000,44000,44000,44000,44000,44000,44000,45400,45400,45400,45400,45500,45500,45500,45500,45500,45500,45500,45500,45500,45500,45500,46100,46100,46100,47300,47300,47300,47300
24100,24100,24100,25200,28700,31100,31100,31100,31100,31100,31100,31100,33200,35300,35300,38200,38700,39100,39100,39100,39100,39100,39100,39100,39900,40200,40300,40300,40300,40300,40300,40300,40300,40500,42200,42500,42500,42500,43300,43400,44700,44700,44900,44900,45500,46800,46800,47200,47200,47200,47200,48100,48100,48100,48100,48300,49200,49200,49200,49500,49500,49500,49500,49500,49500,49500,49500,49500,49500,50200,50300,50300,50400,50400,50400,50400,50400,50400,50500,50500,50500,50500,50500,50500,50500,50500,50500,50500,52600,52600,52600,52600,52600,52600,52600,52600,52600,52600,52600,52600
22700,22700,22700,22700,22700,22700,23900,25300,27700,27700,27700,27700,29300,29300,29400,29400,29400,29400,32800,32800,35600,35600,35600,35600,37600,37600,37600,37600,37600,37600,37600,37600,38300,39600,39600,39600,39600,39600,39600,39600,39600,39700,39700,39700,39700,39700,39700,39700,41400,41400,41400,41400,41400,41400,41400,41400,41400,41400,41400,41400,41400,41400,41400,41400,42500,42500,42500,42500,42500,42500,43600,43600,43600,43600,43600,43600,43600,43600,43600,43600,43600,43600,43600,43600,43600,43600,43600,43600,43600,43600,43600,43600,43600,43600,43600,43700,43700,43700,43700,43700
20900,20900,23300,23300,24600,24600,24600,24600,27700,27700,27700,27700,27700,27800,27800,28100,28100,28100,29700,29700,29700,29700,31100,31100,31200,31200,31200,31200,32500,32500,32500,34100,34100,34100,34700,34700,34700,34700,35000,37700,37700,37700,37700,37700,37700,37700,37700,37700,38600,38600,40100,40100,40100,40100,40100,40400,40400,40800,40800,40800,41200,41200,42100,42100,42100,42100,42100,42100,42100,42100,42800,42800,42800,42800,42800,42800,42800,44100,44100,44700,44700,44700,44700,44900,44900,44900,44900,45200,45400,45500,45500,45900,45900,45900,45900,45900,46200,46200,46200,47200
23400,23400,24500,24500,24500,24500,24500,24500,24500,24500,25800,25800,25800,26200,26200,28100,29100,29100,29100,29100,29100,29100,29100,29500,30300,30300,34100,34100,34100,34100,34100,34100,34400,34400,34400,34400,34400,34400,34400,34800,38600,38600,38600,38600,39000,40500,40500,40500,40500,40900,40900,41000,41700,41700,41700,41700,41700,41700,45200,45200,45200,45200,45200,45200,45200,45200,45200,45200,45200,45200,45200,45200,45200,45200,45200,45200,45200,45300,45300,45300,45300,45300,45300,45300,45400,45400,45400,45400,45500,47500,47500,47800,47800,47800,47800,48700,48700,48700,48700,48700
22300,22300,22300,25000,25000,25000,25000,25000,25000,25000,25000,25000,25400,25500,28300,28300,28300,28300,29000,29000,29500,29500,29500,30400,33000,33000,33400,33400,33400,33400,35400,35400,35400,35400,36200,36200,36200,36200,36200,36200,36200,36200,36200,36200,36200,36200,36200,36200,36200,37400,37900,37900,37900,37900,38400,38400,39300,39300,39300,39300,39300,39300,39300,40400,40400,40500,40500,40500,40500,40500,40500,40500,40500,40600,40600,40600,40600,40600,40600,40600,40600,41600,42300,42300,42300,42300,42300,42300,42300,42300,42300,42300,42300,42300,42300,42300,42300,42300,42300,42300
21800,21800,21800,22900,22900,22900,22900,22900,22900,22900,22900,22900,24100,24100,24100,24200,24500,26300,26300,26300,26300,26300,26300,28400,30800,30900,31000,31000,32700,34900,34900,34900,35000,36300,36300,36300,36500,36500,36500,36500,36500,36500,36500,36500,39600,39600,39600,39600,39600,39600,39900,39900,39900,39900,39900,39900,39900,39900,39900,39900,39900,39900,40800,40800,40800,41800,41800,41800,41800,42400,42400,42400,42400,43100,43100,43200,43700,43700,43700,44500,44500,45100,45100,45100,45100,45100,45100,45500,45500,45500,45900,46000,46000,46500,46500,46500,46500,46500,46500,46500
22100,22100,22100,28000,28000,28000,28000,28000,28000,28000,28000,28000,28000,28000,28000,28000,29200,30400,30400,30400,34000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35100,37100,37100,37100,37100,37400,38000,38000,39000,39000,39000,39000,39000,39000,39000,39300,41000,42800,42800,42800,42800,42800,44000,44000,44000,44000,44000,44000,44200,44200,44200,44200,44200,44200,44200,44200,44200,44200,44200,44200,44200,44200,44200,44200,44200,44200,44200,44200,44200,44200,44200,44200,44200,44200,44200,44200,44200,44200,46000,46000,46000,46000,46000,46000,46000,46000,46100,46100,46100
21500,22500,25500,25500,25500,25500,25500,25500,25500,25500,26100,26100,28200,28200,28200,28200,28200,28200,28200,28200,28200,28200,28200,28500,28500,28500,28500,29400,30800,30800,30800,30800,30800,30800,31700,32600,32700,32700,32900,38600,38600,38600,38600,38600,38600,38600,38600,40700,40700,40700,40700,40700,42700,42700,42700,42700,42700,42700,42700,42700,42700,42800,42800,42800,42800,42800,42800,42800,42800,42800,42800,42800,44300,44300,44300,44300,44300,44300,44300,44300,44300,44300,44300,44300,44300,44300,44300,44300,44300,44300,44300,44300,44300,44300,44300,44300,44300,44300,44300,44300
18900,18900,20100,24700,25100,25100,25100,25100,25100,25100,25100,25400,25400,25400,25400,27000,27100,27100,27100,27100,27200,27200,27200,29400,29800,29800,29800,29800,29800,29800,29800,29800,29800,29800,29800,30100,30100,30100,30700,31500,31500,31500,34300,34300,34300,34300,35800,35800,35800,35900,35900,36200,36300,36300,36300,37900,37900,37900,37900,38000,38600,38600,38600,38800,38900,39500,39500,40200,40200,40200,40200,40300,40300,42500,42500,42500,42800,42800,42800,42800,42800,42800,42800,42800,42800,42800,42800,42800,42800,42800,42800,42800,43700,43700,43700,43700,43700,43800,43800,43800
